,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year
16,17,김일경,현대,0.219,80,72,64,9,14,2,0,2,22,4,3,0,17,김일경,현대,0.219,1,0,4,20,0,0.344,0.275,0.619,1,0.19,0.2,17.0,김일경,현대,0.219,4.0,11.0,19.0,0.58,0.0,0.05,3.65,0.125,5.7,0.21,2003
17,18,최익성,현대,0.191,33,59,47,9,9,2,1,1,16,5,2,1,18,최익성,현대,0.191,8,0,1,9,1,0.340,0.316,0.656,1,0.231,0.2,18.0,최익성,현대,0.191,4.0,11.0,19.0,0.58,0.0,0.89,3.95,0.149,6.1,0.227,2003
18,19,서한규,현대,0.188,35,18,16,2,3,0,0,0,3,1,1,0,19,서한규,현대,0.188,1,0,0,2,1,0.188,0.235,0.423,0,0.5,0.0,19.0,서한규,현대,0.188,0.0,6.0,5.0,1.20,0.0,0.50,4.06,0.000,0.3,0.153,2003
19,20,조승현,현대,0.158,8,19,19,1,3,0,0,1,6,1,0,0,20,조승현,현대,0.158,0,0,0,5,0,0.316,0.158,0.474,0,0.0,0.25,20.0,조승현,현대,0.158,1.0,5.0,6.0,0.83,0.0,0.00,3.74,0.158,1.1,0.15,2003
20,21,강병식,현대,0.138,43,79,65,6,9,0,1,2,17,11,1,0,21,강병식,현대,0.138,12,0,1,17,1,0.262,0.282,0.544,1,0.2,0.143,21.0,강병식,현대,0.138,3.0,28.0,11.0,2.55,0.0,0.71,4.37,0.123,5.5,0.192,2003
21,22,권준헌,현대,-,2,0,0,0,0,0,0,0,0,0,0,0,22,권준헌,현대,-,0,0,0,0,0,-,-,-,0,0.0,0.0,22.0,권준헌,현대,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
22,22,김성태,현대,-,3,0,0,0,0,0,0,0,0,0,0,0,22,김성태,현대,-,0,0,0,0,0,-,-,-,0,0.0,0.0,22.0,김성태,현대,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
23,22,마일영,현대,-,1,0,0,0,0,0,0,0,0,0,0,0,22,마일영,현대,-,0,0,0,0,0,-,-,-,0,0.0,0.0,22.0,마일영,현대,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
24,22,신철인,현대,-,2,0,0,0,0,0,0,0,0,0,0,0,22,신철인,현대,-,0,0,0,0,0,-,-,-,0,0.0,0.0,22.0,신철인,현대,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
25,22,이대환,현대,-,3,0,0,0,0,0,0,0,0,0,0,0,22,이대환,현대,-,0,0,0,0,0,-,-,-,0,0.0,0.0,22.0,이대환,현대,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
