,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year
2,3,이승엽,삼성,0.323,133,617,511,123,165,42,2,47,352,126,0,2,3,이승엽,삼성,0.323,89,5,15,109,11,0.689,0.436,1.125,47,0.331,0.0,21.0,장성국,삼성,0.000,0.0,2.0,3.0,0.67,0.0,0.00,3.88,0.000,-0.7,0.0,2002
3,4,김한수,삼성,0.311,127,541,486,69,151,23,1,17,227,76,2,4,4,김한수,삼성,0.311,35,2,14,61,15,0.467,0.371,0.838,44,0.287,0.0,,,,,,,,,,,,,,,2002
4,5,강동우,삼성,0.288,130,521,466,75,134,23,3,9,190,49,7,1,5,강동우,삼성,0.288,46,0,1,76,9,0.408,0.352,0.760,36,0.33,0.0,,,,,,,,,,,,,,,2002
5,6,조동찬,삼성,0.286,5,7,7,2,2,0,0,1,5,1,0,0,6,조동찬,삼성,0.286,0,0,0,2,0,0.714,0.286,1.000,1,0.0,0.0,,,,,,,,,,,,,,,2002
6,7,브리또,삼성,0.283,128,545,481,89,136,29,0,25,240,90,4,4,7,브리또,삼성,0.283,35,3,21,84,10,0.499,0.355,0.854,40,0.286,0.0,,,,,,,,,,,,,,,2002
7,8,진갑용,삼성,0.281,133,517,462,58,130,29,1,18,215,86,1,5,8,진갑용,삼성,0.281,41,4,8,56,13,0.465,0.347,0.812,34,0.358,0.0,,,,,,,,,,,,,,,2002
8,9,김종훈,삼성,0.280,105,229,193,29,54,10,1,3,75,22,6,1,9,김종훈,삼성,0.280,26,1,3,43,7,0.389,0.372,0.761,13,0.275,0.205,,,,,,,,,,,,,,,2002
9,10,양준혁,삼성,0.276,132,437,391,60,108,23,2,14,177,50,0,1,10,양준혁,삼성,0.276,39,3,5,56,9,0.453,0.349,0.802,27,0.237,0.214,,,,,,,,,,,,,,,2002
10,11,박한이,삼성,0.272,133,586,504,89,137,24,2,10,195,47,14,2,11,박한이,삼성,0.272,60,3,6,79,15,0.387,0.355,0.742,39,0.242,0.0,,,,,,,,,,,,,,,2002
11,12,장영균,삼성,0.250,5,6,4,1,1,1,0,0,2,0,0,0,12,장영균,삼성,0.250,1,0,1,1,0,0.500,0.500,1.000,0,0.0,0.0,,,,,,,,,,,,,,,2002
12,13,박정환,삼성,0.234,119,372,316,49,74,12,2,9,117,36,13,2,13,박정환,삼성,0.234,35,0,6,79,9,0.370,0.320,0.690,14,0.133,0.5,,,,,,,,,,,,,,,2002
13,14,현재윤,삼성,0.227,20,22,22,2,5,0,0,1,8,2,0,0,14,현재윤,삼성,0.227,0,0,0,5,2,0.364,0.227,0.591,1,0.0,0.2,,,,,,,,,,,,,,,2002
14,15,김재걸,삼성,0.207,83,106,92,17,19,1,0,2,26,10,4,2,15,김재걸,삼성,0.207,8,0,0,26,0,0.283,0.265,0.548,5,0.12,0.0,,,,,,,,,,,,,,,2002
15,16,하춘동,삼성,0.200,15,10,10,2,2,0,0,0,2,2,0,0,16,하춘동,삼성,0.200,0,0,0,6,0,0.200,0.200,0.400,0,0.333,0.25,,,,,,,,,,,,,,,2002
16,17,임재철,삼성,0.194,104,82,72,13,14,4,0,1,21,4,2,0,17,임재철,삼성,0.194,3,0,5,19,1,0.292,0.275,0.567,2,0.214,0.333,,,,,,,,,,,,,,,2002
17,18,김승관,삼성,0.182,12,12,11,1,2,0,0,0,2,0,0,0,18,김승관,삼성,0.182,0,0,1,4,0,0.182,0.250,0.432,0,0.0,0.182,,,,,,,,,,,,,,,2002
18,19,김승권,삼성,0.179,59,92,84,6,15,3,0,1,21,14,0,4,19,김승권,삼성,0.179,3,0,1,22,1,0.250,0.207,0.457,3,0.217,0.136,,,,,,,,,,,,,,,2002
19,20,이준민,삼성,0.143,8,8,7,0,1,0,0,0,1,0,0,0,20,이준민,삼성,0.143,1,0,0,4,0,0.143,0.250,0.393,0,0.0,0.143,,,,,,,,,,,,,,,2002
20,21,강영식,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,강영식,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
21,21,권혁,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,권혁,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
22,21,김수관,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,김수관,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
23,21,김진웅,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,김진웅,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
24,21,노병오,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,노병오,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
25,21,노장진,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0,21,노장진,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
26,21,라형진,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,라형진,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
27,21,박봉수,삼성,0.000,8,7,6,0,0,0,0,0,0,0,0,0,21,박봉수,삼성,0.000,1,0,0,0,0,0.000,0.143,0.143,0,0.0,0.0,,,,,,,,,,,,,,,2002
28,21,손주인,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,손주인,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
29,21,오상민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,오상민,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
0,1,김재현,LG,0.334,98,370,296,50,99,14,0,16,161,61,0,2,1,김재현,LG,0.334,54,5,18,51,6,0.544,0.462,1.006,26,0.319,0.4,1.0,김재현,LG,0.334,30.0,88.0,60.0,1.47,0.0,1.06,4.18,0.209,73.1,0.344,2002
1,2,김상현,LG,0.313,31,42,32,7,10,0,1,1,15,6,0,0,2,김상현,LG,0.313,7,1,3,18,0,0.469,0.476,0.945,2,0.333,0.4,2.0,김상현,LG,0.313,2.0,3.0,1.0,3.00,0.0,0.39,4.33,0.156,7.7,0.331,2002
2,3,류지현,LG,0.310,91,386,326,51,101,14,3,1,124,25,16,4,3,류지현,LG,0.310,38,0,2,51,3,0.380,0.381,0.761,30,0.266,0.0,3.0,류지현,LG,0.310,18.0,91.0,87.0,1.05,0.0,0.75,3.99,0.071,51.0,0.266,2002
3,4,이병규,LG,0.293,109,444,389,54,114,25,0,12,175,43,1,2,4,이병규,LG,0.293,50,12,2,57,6,0.450,0.375,0.825,30,0.253,0.0,4.0,이병규,LG,0.293,37.0,135.0,85.0,1.59,0.0,0.88,3.72,0.157,63.4,0.281,2002
4,5,박용택,LG,0.288,112,424,375,68,108,28,6,9,175,55,1,4,5,박용택,LG,0.288,38,1,6,109,11,0.467,0.359,0.826,31,0.317,0.5,5.0,박용택,LG,0.288,43.0,95.0,67.0,1.42,0.0,0.35,4.05,0.179,61.3,0.278,2002
5,6,서용빈,LG,0.286,88,301,273,35,78,16,1,3,105,27,2,1,6,서용빈,LG,0.286,25,1,0,49,6,0.385,0.344,0.729,20,0.271,0.0,6.0,서용빈,LG,0.286,20.0,95.0,52.0,1.83,0.0,0.51,3.80,0.099,34.0,0.251,2002
6,7,마르티네스,LG,0.279,109,468,409,59,114,19,1,15,180,69,0,6,7,마르티네스,LG,0.279,49,7,4,70,5,0.440,0.357,0.797,34,0.301,0.0,7.0,마르티네스,LG,0.279,35.0,95.0,136.0,0.70,0.0,0.70,4.04,0.161,66.6,0.271,2002
7,8,조인성,LG,0.268,124,391,362,36,97,21,2,9,149,48,5,5,8,조인성,LG,0.268,14,0,5,82,11,0.412,0.301,0.713,20,0.274,0.0,8.0,조인성,LG,0.268,32.0,84.0,104.0,0.81,0.0,0.17,3.56,0.144,43.1,0.238,2002
8,9,이종열,LG,0.267,95,400,348,51,93,16,3,7,136,44,13,1,9,이종열,LG,0.267,28,0,10,50,6,0.391,0.339,0.730,26,0.31,0.0,9.0,이종열,LG,0.267,26.0,111.0,95.0,1.17,0.0,0.56,3.70,0.124,46.8,0.25,2002
9,10,최만호,LG,0.248,93,158,129,23,32,4,2,2,46,12,10,0,10,최만호,LG,0.248,13,0,6,31,1,0.357,0.345,0.702,6,0.25,0.2,10.0,최만호,LG,0.248,8.0,29.0,37.0,0.78,0.0,0.42,3.57,0.109,17.0,0.245,2002
10,11,이일의,LG,0.246,72,137,122,13,30,5,0,1,38,8,1,1,11,이일의,LG,0.246,10,0,2,28,5,0.311,0.311,0.622,2,0.138,0.325,11.0,이일의,LG,0.246,6.0,43.0,22.0,1.95,0.0,0.36,4.26,0.066,10.9,0.218,2002
11,12,안상준,LG,0.245,41,59,49,7,12,1,0,0,13,3,1,0,12,안상준,LG,0.245,6,0,3,13,2,0.265,0.362,0.627,2,0.273,0.0,12.0,안상준,LG,0.245,1.0,15.0,9.0,1.67,0.0,0.46,3.86,0.020,4.8,0.229,2002
12,13,최동수,LG,0.243,106,300,268,28,65,13,0,4,90,31,3,3,13,최동수,LG,0.243,26,2,0,59,6,0.336,0.306,0.642,17,0.25,0.259,13.0,최동수,LG,0.243,17.0,72.0,75.0,0.96,0.0,0.44,3.81,0.093,28.3,0.222,2002
13,14,장재중,LG,0.222,69,120,108,13,24,2,1,2,34,7,3,0,14,장재중,LG,0.222,8,0,1,18,1,0.315,0.282,0.597,6,0.115,0.0,14.0,장재중,LG,0.222,5.0,34.0,32.0,1.06,0.0,0.44,3.88,0.093,10.5,0.206,2002
14,15,권용관,LG,0.218,125,327,294,28,64,13,1,4,91,32,16,2,15,권용관,LG,0.218,10,0,5,89,5,0.310,0.254,0.564,12,0.211,0.0,15.0,권용관,LG,0.218,18.0,69.0,74.0,0.93,0.0,0.11,3.64,0.092,23.1,0.192,2002
15,16,김정민,LG,0.216,32,39,37,3,8,3,0,0,11,4,0,0,16,김정민,LG,0.216,2,0,0,13,1,0.297,0.256,0.553,2,0.357,0.231,16.0,김정민,LG,0.216,3.0,10.0,6.0,1.67,0.0,0.15,4.64,0.081,2.3,0.189,2002
16,17,심성보,LG,0.215,72,166,149,13,32,4,1,3,47,13,3,0,17,심성보,LG,0.215,13,0,1,34,1,0.315,0.282,0.597,6,0.136,0.071,17.0,심성보,LG,0.215,8.0,43.0,40.0,1.08,0.0,0.38,3.91,0.101,14.3,0.206,2002
17,18,손지환,LG,0.214,111,330,290,25,62,9,0,5,86,24,14,2,18,손지환,LG,0.214,14,0,10,51,8,0.297,0.272,0.569,14,0.175,0.0,18.0,손지환,LG,0.214,14.0,96.0,83.0,1.16,0.0,0.27,3.57,0.083,23.5,0.197,2002
18,19,김우석,LG,0.200,43,31,30,5,6,0,1,0,8,3,0,0,19,김우석,LG,0.200,0,0,1,11,2,0.267,0.226,0.493,0,0.25,0.0,19.0,김우석,LG,0.200,1.0,10.0,3.0,3.33,0.0,0.00,3.84,0.067,0.6,0.168,2002
19,19,추승우,LG,0.200,6,10,10,1,2,0,0,0,2,0,0,0,19,추승우,LG,0.200,0,0,0,2,1,0.200,0.200,0.400,1,0.0,0.0,19.0,추승우,LG,0.200,0.0,4.0,2.0,2.00,0.0,0.00,3.10,0.000,-0.1,0.14,2002
20,21,박연수,LG,0.198,60,94,81,15,16,1,0,5,32,18,1,2,21,박연수,LG,0.198,7,1,3,35,1,0.395,0.280,0.675,3,0.294,0.115,21.0,박연수,LG,0.198,6.0,17.0,15.0,1.13,0.0,0.20,4.00,0.198,11.1,0.225,2002
21,22,김현민,LG,0.167,16,18,18,1,3,1,0,1,7,3,0,0,22,김현민,LG,0.167,0,0,0,7,1,0.389,0.167,0.556,0,0.333,0.231,22.0,김현민,LG,0.167,2.0,7.0,1.0,7.00,0.0,0.00,4.28,0.222,0.9,0.172,2002
22,23,김재학,LG,0.154,12,14,13,1,2,0,0,0,2,1,0,0,23,김재학,LG,0.154,0,0,1,3,1,0.154,0.214,0.368,0,0.25,0.125,23.0,김재학,LG,0.154,0.0,4.0,4.0,1.00,0.0,0.00,3.36,0.000,0.0,0.135,2002
23,24,김용우,LG,0.143,9,8,7,0,1,0,0,0,1,0,0,0,24,김용우,LG,0.143,0,0,1,3,0,0.143,0.250,0.393,0,0.0,0.167,24.0,김용우,LG,0.143,0.0,2.0,1.0,2.00,0.0,0.00,5.00,0.000,0.3,0.148,2002
24,25,홍현우,LG,0.118,25,76,68,3,8,3,0,1,14,8,1,2,25,홍현우,LG,0.118,3,0,2,16,1,0.206,0.173,0.379,1,0.158,0.167,25.0,홍현우,LG,0.118,4.0,29.0,17.0,1.71,0.0,0.19,3.70,0.088,1.9,0.129,2002
25,26,경헌호,LG,0.000,3,1,1,0,0,0,0,0,0,0,0,0,26,경헌호,LG,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,26.0,경헌호,LG,0.000,0.0,0.0,0.0,-,0.0,0.00,3.00,0.000,-0.1,0.0,2002
26,26,만자니오,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,26,만자니오,LG,-,0,0,0,0,0,-,-,-,0,0.0,0.0,26.0,만자니오,LG,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
27,26,서승화,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,26,서승화,LG,-,0,0,0,0,0,-,-,-,0,0.0,0.0,26.0,서승화,LG,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
28,26,신윤호,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,26,신윤호,LG,-,0,0,0,0,0,-,-,-,0,0.0,0.0,26.0,신윤호,LG,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
29,26,안치용,LG,0.000,1,2,2,0,0,0,0,0,0,0,0,0,26,안치용,LG,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,26.0,안치용,LG,0.000,0.0,1.0,0.0,-,0.0,0.00,4.00,0.000,-0.2,0.0,2002
0,1,김재현,LG,0.334,98,370,296,50,99,14,0,16,161,61,0,2,1,김재현,LG,0.334,54,5,18,51,6,0.544,0.462,1.006,26,0.319,0.4,26.0,류택현,LG,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
1,2,김상현,LG,0.313,31,42,32,7,10,0,1,1,15,6,0,0,2,김상현,LG,0.313,7,1,3,18,0,0.469,0.476,0.945,2,0.333,0.4,26.0,윤현식,LG,0.000,0.0,3.0,5.0,0.60,0.0,0.00,3.50,0.000,-0.8,0.0,2002
2,3,류지현,LG,0.310,91,386,326,51,101,14,3,1,124,25,16,4,3,류지현,LG,0.310,38,0,2,51,3,0.380,0.381,0.761,30,0.266,0.0,26.0,이광우,LG,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
3,4,이병규,LG,0.293,109,444,389,54,114,25,0,12,175,43,1,2,4,이병규,LG,0.293,50,12,2,57,6,0.450,0.375,0.825,30,0.253,0.0,26.0,이동현,LG,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
4,5,박용택,LG,0.288,112,424,375,68,108,28,6,9,175,55,1,4,5,박용택,LG,0.288,38,1,6,109,11,0.467,0.359,0.826,31,0.317,0.5,26.0,이상훈,LG,0.000,0.0,0.0,0.0,-,0.0,0.00,7.00,0.000,-0.1,0.0,2002
5,6,서용빈,LG,0.286,88,301,273,35,78,16,1,3,105,27,2,1,6,서용빈,LG,0.286,25,1,0,49,6,0.385,0.344,0.729,20,0.271,0.0,26.0,최창호,LG,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
6,7,마르티네스,LG,0.279,109,468,409,59,114,19,1,15,180,69,0,6,7,마르티네스,LG,0.279,49,7,4,70,5,0.440,0.357,0.797,34,0.301,0.0,26.0,케펜,LG,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
7,8,조인성,LG,0.268,124,391,362,36,97,21,2,9,149,48,5,5,8,조인성,LG,0.268,14,0,5,82,11,0.412,0.301,0.713,20,0.274,0.0,26.0,퀸란,LG,0.000,0.0,5.0,6.0,0.83,0.0,0.30,4.04,0.000,0.1,0.1,2002
8,9,이종열,LG,0.267,95,400,348,51,93,16,3,7,136,44,13,1,9,이종열,LG,0.267,28,0,10,50,6,0.391,0.339,0.730,26,0.31,0.0,,,,,,,,,,,,,,,2002
9,10,최만호,LG,0.248,93,158,129,23,32,4,2,2,46,12,10,0,10,최만호,LG,0.248,13,0,6,31,1,0.357,0.345,0.702,6,0.25,0.2,,,,,,,,,,,,,,,2002
10,11,이일의,LG,0.246,72,137,122,13,30,5,0,1,38,8,1,1,11,이일의,LG,0.246,10,0,2,28,5,0.311,0.311,0.622,2,0.138,0.325,,,,,,,,,,,,,,,2002
11,12,안상준,LG,0.245,41,59,49,7,12,1,0,0,13,3,1,0,12,안상준,LG,0.245,6,0,3,13,2,0.265,0.362,0.627,2,0.273,0.0,,,,,,,,,,,,,,,2002
12,13,최동수,LG,0.243,106,300,268,28,65,13,0,4,90,31,3,3,13,최동수,LG,0.243,26,2,0,59,6,0.336,0.306,0.642,17,0.25,0.259,,,,,,,,,,,,,,,2002
13,14,장재중,LG,0.222,69,120,108,13,24,2,1,2,34,7,3,0,14,장재중,LG,0.222,8,0,1,18,1,0.315,0.282,0.597,6,0.115,0.0,,,,,,,,,,,,,,,2002
14,15,권용관,LG,0.218,125,327,294,28,64,13,1,4,91,32,16,2,15,권용관,LG,0.218,10,0,5,89,5,0.310,0.254,0.564,12,0.211,0.0,,,,,,,,,,,,,,,2002
15,16,김정민,LG,0.216,32,39,37,3,8,3,0,0,11,4,0,0,16,김정민,LG,0.216,2,0,0,13,1,0.297,0.256,0.553,2,0.357,0.231,,,,,,,,,,,,,,,2002
16,17,심성보,LG,0.215,72,166,149,13,32,4,1,3,47,13,3,0,17,심성보,LG,0.215,13,0,1,34,1,0.315,0.282,0.597,6,0.136,0.071,,,,,,,,,,,,,,,2002
17,18,손지환,LG,0.214,111,330,290,25,62,9,0,5,86,24,14,2,18,손지환,LG,0.214,14,0,10,51,8,0.297,0.272,0.569,14,0.175,0.0,,,,,,,,,,,,,,,2002
18,19,김우석,LG,0.200,43,31,30,5,6,0,1,0,8,3,0,0,19,김우석,LG,0.200,0,0,1,11,2,0.267,0.226,0.493,0,0.25,0.0,,,,,,,,,,,,,,,2002
19,19,추승우,LG,0.200,6,10,10,1,2,0,0,0,2,0,0,0,19,추승우,LG,0.200,0,0,0,2,1,0.200,0.200,0.400,1,0.0,0.0,,,,,,,,,,,,,,,2002
20,21,박연수,LG,0.198,60,94,81,15,16,1,0,5,32,18,1,2,21,박연수,LG,0.198,7,1,3,35,1,0.395,0.280,0.675,3,0.294,0.115,,,,,,,,,,,,,,,2002
21,22,김현민,LG,0.167,16,18,18,1,3,1,0,1,7,3,0,0,22,김현민,LG,0.167,0,0,0,7,1,0.389,0.167,0.556,0,0.333,0.231,,,,,,,,,,,,,,,2002
22,23,김재학,LG,0.154,12,14,13,1,2,0,0,0,2,1,0,0,23,김재학,LG,0.154,0,0,1,3,1,0.154,0.214,0.368,0,0.25,0.125,,,,,,,,,,,,,,,2002
23,24,김용우,LG,0.143,9,8,7,0,1,0,0,0,1,0,0,0,24,김용우,LG,0.143,0,0,1,3,0,0.143,0.250,0.393,0,0.0,0.167,,,,,,,,,,,,,,,2002
24,25,홍현우,LG,0.118,25,76,68,3,8,3,0,1,14,8,1,2,25,홍현우,LG,0.118,3,0,2,16,1,0.206,0.173,0.379,1,0.158,0.167,,,,,,,,,,,,,,,2002
25,26,경헌호,LG,0.000,3,1,1,0,0,0,0,0,0,0,0,0,26,경헌호,LG,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,,,,,,,,,,,,,,,2002
26,26,만자니오,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,26,만자니오,LG,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
27,26,서승화,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,26,서승화,LG,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
28,26,신윤호,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,26,신윤호,LG,-,0,0,0,0,0,-,-,-,0,0.0,0.0,,,,,,,,,,,,,,,2002
29,26,안치용,LG,0.000,1,2,2,0,0,0,0,0,0,0,0,0,26,안치용,LG,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,,,,,,,,,,,,,,,2002
0,1,장성호,KIA,0.343,133,586,481,82,165,29,0,19,251,95,2,8,1,장성호,KIA,0.343,86,14,9,53,15,0.522,0.445,0.967,48,0.365,0.0,1.0,장성호,KIA,0.343,48.0,146.0,125.0,1.17,0.0,1.62,3.92,0.179,106.7,0.331,2002
1,2,황성기,KIA,0.333,2,3,3,0,1,0,0,0,1,0,0,0,2,황성기,KIA,0.333,0,0,0,1,0,0.333,0.333,0.666,0,0.0,0.0,2.0,황성기,KIA,0.333,0.0,0.0,1.0,0.00,0.0,0.00,5.00,0.000,0.3,0.233,2002
2,3,정성훈,KIA,0.312,114,385,340,65,106,19,3,9,158,39,5,3,3,정성훈,KIA,0.312,28,2,9,42,9,0.465,0.376,0.841,27,0.26,0.0,3.0,정성훈,KIA,0.312,31.0,114.0,81.0,1.41,0.0,0.67,3.82,0.153,57.8,0.285,2002
3,4,신동주,KIA,0.311,81,273,244,34,76,9,1,7,108,33,0,2,4,신동주,KIA,0.311,24,2,3,59,8,0.443,0.377,0.820,25,0.277,0.308,4.0,신동주,KIA,0.311,17.0,50.0,61.0,0.82,0.0,0.41,4.00,0.131,38.7,0.28,2002
4,5,이종범,KIA,0.293,123,546,485,93,142,25,2,18,225,59,4,1,5,이종범,KIA,0.293,43,5,13,63,7,0.464,0.365,0.829,41,0.337,0.0,5.0,이종범,KIA,0.293,45.0,138.0,143.0,0.97,0.0,0.68,3.73,0.171,84.4,0.28,2002
5,6,김종국,KIA,0.287,133,595,527,95,151,26,3,8,207,53,3,1,6,김종국,KIA,0.287,61,0,3,116,5,0.393,0.363,0.756,41,0.298,1.0,6.0,김종국,KIA,0.287,37.0,150.0,111.0,1.35,0.0,0.53,3.85,0.106,82.1,0.262,2002
6,7,김경언,KIA,0.263,107,323,274,45,72,16,1,1,93,33,1,1,7,김경언,KIA,0.263,45,0,2,66,1,0.339,0.370,0.709,17,0.316,0.0,7.0,김경언,KIA,0.263,18.0,73.0,64.0,1.14,0.0,0.68,4.06,0.077,39.0,0.251,2002
7,8,김민철,KIA,0.261,58,53,46,9,12,1,0,0,13,3,2,0,8,김민철,KIA,0.261,4,0,1,10,0,0.283,0.333,0.616,1,0.357,0.25,8.0,김민철,KIA,0.261,1.0,13.0,11.0,1.18,0.0,0.40,3.64,0.022,4.5,0.221,2002
8,9,홍세완,KIA,0.257,111,449,401,43,103,21,0,12,160,69,8,4,9,홍세완,KIA,0.257,30,2,6,68,10,0.399,0.315,0.714,25,0.265,0.0,9.0,홍세완,KIA,0.257,33.0,127.0,107.0,1.19,0.0,0.44,3.85,0.142,49.9,0.242,2002
9,10,이현곤,KIA,0.257,52,122,113,11,29,7,1,3,47,12,0,0,10,이현곤,KIA,0.257,8,0,1,25,4,0.416,0.311,0.727,5,0.259,0.667,10.0,이현곤,KIA,0.257,11.0,35.0,24.0,1.46,0.0,0.32,3.99,0.159,13.8,0.244,2002
10,11,펨버튼,KIA,0.255,75,316,271,28,69,13,1,11,117,48,0,3,11,펨버튼,KIA,0.255,23,3,19,56,6,0.432,0.351,0.783,22,0.226,0.0,11.0,펨버튼,KIA,0.255,25.0,64.0,85.0,0.75,0.0,0.41,3.41,0.177,42.6,0.266,2002
11,12,오우진,KIA,0.250,14,17,16,0,4,0,0,0,4,2,0,0,12,오우진,KIA,0.250,0,0,1,6,1,0.250,0.294,0.544,0,0.167,0.444,12.0,오우진,KIA,0.250,0.0,4.0,2.0,2.00,0.0,0.00,3.65,0.000,0.8,0.195,2002
12,12,장일현,KIA,0.250,81,145,132,11,33,8,0,3,50,19,1,0,12,장일현,KIA,0.250,11,0,1,24,3,0.379,0.313,0.692,4,0.239,0.3,12.0,장일현,KIA,0.250,11.0,41.0,34.0,1.21,0.0,0.46,4.03,0.129,15.2,0.236,2002
13,14,김인철,KIA,0.235,37,53,51,5,12,4,0,1,19,6,1,0,14,김인철,KIA,0.235,0,0,1,16,0,0.373,0.250,0.623,2,0.25,0.25,14.0,김인철,KIA,0.235,5.0,12.0,11.0,1.09,0.0,0.00,3.92,0.137,4.7,0.206,2002
14,15,김지훈,KIA,0.229,49,52,48,6,11,1,0,3,21,9,2,0,15,김지훈,KIA,0.229,1,0,1,14,4,0.438,0.260,0.698,2,0.333,0.5,15.0,김지훈,KIA,0.229,4.0,12.0,11.0,1.09,0.0,0.07,3.87,0.208,4.4,0.227,2002
15,15,이동수,KIA,0.229,28,56,48,3,11,1,0,0,12,8,0,0,15,이동수,KIA,0.229,2,0,6,16,1,0.250,0.339,0.589,1,0.368,0.154,15.0,이동수,KIA,0.229,1.0,11.0,10.0,1.10,0.0,0.13,4.00,0.021,4.6,0.215,2002
16,17,김태룡,KIA,0.227,66,105,97,12,22,6,0,2,34,8,0,2,17,김태룡,KIA,0.227,5,0,1,26,1,0.351,0.267,0.618,3,0.138,0.25,17.0,김태룡,KIA,0.227,8.0,24.0,27.0,0.89,0.0,0.19,3.89,0.124,9.3,0.208,2002
17,18,장정석,KIA,0.225,75,116,102,11,23,5,0,1,31,7,4,1,18,장정석,KIA,0.225,8,2,1,17,1,0.304,0.286,0.590,3,0.1,0.063,18.0,장정석,KIA,0.225,6.0,39.0,24.0,1.63,0.0,0.47,3.80,0.078,9.6,0.205,2002
18,19,김상훈,KIA,0.221,113,391,357,36,79,12,0,7,112,41,8,3,19,김상훈,KIA,0.221,18,0,5,67,11,0.314,0.266,0.580,16,0.202,0.0,19.0,김상훈,KIA,0.221,19.0,128.0,86.0,1.49,0.0,0.27,3.64,0.092,28.6,0.198,2002
19,20,김창희,KIA,0.216,114,350,310,28,67,12,0,5,94,35,4,5,20,김창희,KIA,0.216,27,0,4,79,15,0.303,0.283,0.586,14,0.26,0.222,20.0,김창희,KIA,0.216,17.0,106.0,63.0,1.68,0.0,0.34,3.86,0.087,26.1,0.203,2002
20,21,조민철,KIA,0.214,12,16,14,1,3,0,0,0,3,2,0,0,21,조민철,KIA,0.214,1,0,1,5,0,0.214,0.313,0.527,0,0.5,0.25,21.0,조민철,KIA,0.214,0.0,4.0,2.0,2.00,0.0,0.20,3.44,0.000,1.2,0.194,2002
21,22,뉴선,KIA,0.209,35,133,115,15,24,5,0,7,50,17,0,1,22,뉴선,KIA,0.209,17,1,0,38,3,0.435,0.308,0.743,4,0.132,0.0,22.0,뉴선,KIA,0.209,12.0,28.0,26.0,1.08,0.0,0.45,4.02,0.226,16.4,0.247,2002
22,23,이재주,KIA,0.152,26,37,33,2,5,0,0,2,11,5,1,0,23,이재주,KIA,0.152,3,0,0,16,1,0.333,0.222,0.555,0,0.091,0.333,23.0,이재주,KIA,0.152,2.0,6.0,6.0,1.00,0.0,0.19,4.16,0.182,2.4,0.183,2002
