,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,HR홈런,index,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,year,OBP출루율,BB볼넷,index,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year,BB/K볼넷/삼진,GO땅볼,ISOP순수장타율,GO/AO땅볼/뜬공
152,23,21,이경환,두산,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,23.0,22,오승준,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,23.0,22,오승준,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
153,24,21,이상훈,두산,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2002,,24.0,22,윤형국,SK,-,1.0,0,0,0,0,-,1.000,1.000,0,0.0,0.0,2002,,,24.0,22,윤형국,SK,-,0,0.0,0,-,0,-,5.00,-,0.3,0.45,2002,,,,
154,25,21,이재영,두산,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2002,,25.0,22,이대수,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,25.0,22,이대수,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
155,26,21,이혜천,두산,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,26.0,22,정대현,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,26.0,22,정대현,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
156,27,21,진필중,두산,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,27.0,22,조동화,SK,0.000,0.0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,2002,,,27.0,22,조동화,SK,0.000,0,1.0,0,-,0,-,3.00,0.000,-0.1,0.0,2002,,,,
157,28,21,차명주,두산,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,28.0,22,조웅천,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,28.0,22,조웅천,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
158,0,1,김재구,SK,0.429,15,15,14,3,6,0,0,1.0,9,5,0,0,2002,,29.0,22,채병용,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,29.0,22,채병용,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
159,1,2,이진영,SK,0.308,128,475,419,73,129,22,8,13.0,206,40,6,3,2002,,0.0,1,조윤채,한화,0.414,3.0,0,0,6,1,0.586,0.469,1.055,4,0.0,0.0,2002,,,0.0,1,조윤채,한화,0.414,3,5.0,6,0.83,0,0.50,4.31,0.172,6.2,0.358,2002,,,,
160,2,3,안재만,SK,0.294,5,20,17,3,5,1,0,1.0,9,2,0,0,2002,,1.0,2,이영우,한화,0.315,73.0,6,8,103,14,0.525,0.415,0.940,43,0.321,0.167,2002,,,1.0,2,이영우,한화,0.315,51,148.0,75,1.97,0,0.71,4.06,0.210,94.3,0.318,2002,,,,
161,3,4,채종범,SK,0.291,127,557,478,79,139,19,2,17.0,213,68,11,3,2002,,2.0,3,송지만,한화,0.291,58.0,4,9,136,14,0.570,0.375,0.945,37,0.295,0.0,2002,,,2.0,3,송지만,한화,0.291,58,106.0,106,1.00,0,0.43,3.75,0.279,98.0,0.311,2002,,,,
162,4,5,이호준,SK,0.288,129,499,444,76,128,24,2,23.0,225,64,4,2,2002,,3.0,4,강석천,한화,0.289,20.0,0,2,51,9,0.417,0.347,0.764,16,0.298,0.306,2002,,,3.0,4,강석천,한화,0.289,18,73.0,49,1.49,0,0.39,3.64,0.128,32.6,0.26,2002,,,,
163,5,6,잉글린,SK,0.282,78,279,248,33,70,18,0,6.0,106,36,0,3,2002,,4.0,5,데이비스,한화,0.287,46.0,5,4,97,6,0.505,0.364,0.869,29,0.265,0.2,2002,,,4.0,5,데이비스,한화,0.287,45,127.0,66,1.92,0,0.47,4.08,0.218,71.4,0.29,2002,,,,
164,6,7,정경배,SK,0.281,75,174,153,19,43,11,1,2.0,62,14,4,2,2002,,5.0,6,황우구,한화,0.280,10.0,0,1,18,0,0.427,0.368,0.795,2,0.3,0.0,2002,,,5.0,6,황우구,한화,0.280,7,13.0,24,0.54,0,0.56,3.80,0.147,12.6,0.272,2002,,,,
165,7,8,페르난데스,SK,0.281,132,556,499,81,140,24,0,45.0,299,107,0,1,2002,,6.0,7,가르시아,한화,0.260,4.0,0,0,20,1,0.411,0.299,0.710,5,0.375,0.0,2002,,,6.0,7,가르시아,한화,0.260,6,19.0,15,1.27,0,0.20,3.62,0.151,8.5,0.237,2002,,,,
166,8,9,조원우,SK,0.269,116,329,297,42,80,8,2,8.0,116,36,7,2,2002,,7.0,8,이범호,한화,0.260,24.0,1,3,57,5,0.453,0.320,0.773,17,0.25,0.0,2002,,,7.0,8,이범호,한화,0.260,33,80.0,84,0.95,0,0.42,3.78,0.193,42.9,0.257,2002,,,,
167,9,10,양현석,SK,0.267,88,223,191,23,51,4,0,6.0,73,25,1,2,2002,,8.0,9,조현수,한화,0.256,3.0,0,1,10,2,0.326,0.319,0.645,1,0.25,0.333,2002,,,8.0,9,조현수,한화,0.256,1,10.0,12,0.83,0,0.30,3.89,0.070,4.1,0.225,2002,,,,
168,10,11,최태원,SK,0.262,121,300,260,28,68,7,2,2.0,85,22,10,2,2002,,9.0,10,허준,한화,0.255,20.0,0,1,32,4,0.311,0.324,0.635,8,0.15,0.0,2002,,,9.0,10,허준,한화,0.255,7,69.0,47,1.47,0,0.63,3.55,0.056,20.0,0.224,2002,,,,
169,11,12,김민재,SK,0.258,131,548,488,51,126,21,3,12.0,189,50,19,4,2002,,10.0,11,김태균,한화,0.255,41.0,2,2,103,13,0.362,0.347,0.709,16,0.25,0.188,2002,,,10.0,11,김태균,한화,0.255,18,81.0,40,2.03,0,0.40,4.23,0.107,36.6,0.247,2002,,,,
170,12,13,김기태,SK,0.257,101,337,284,32,73,15,1,9.0,117,46,3,3,2002,,11.0,12,장종훈,한화,0.248,24.0,1,2,88,1,0.417,0.306,0.723,15,0.263,0.167,2002,,,11.0,12,장종훈,한화,0.248,27,60.0,81,0.74,0,0.27,4.06,0.169,39.8,0.242,2002,,,,
171,13,14,김동수,SK,0.243,95,299,251,28,61,10,2,11.0,108,32,14,3,2002,,12.0,13,이도형,한화,0.241,20.0,2,2,66,10,0.414,0.282,0.696,22,0.234,0.286,2002,,,12.0,13,이도형,한화,0.241,31,113.0,101,1.12,0,0.30,3.57,0.173,41.7,0.23,2002,,,,
172,14,15,송재익,SK,0.229,116,78,70,13,16,3,1,0.0,21,5,1,0,2002,,13.0,14,조효상,한화,0.238,0.0,0,0,6,1,0.476,0.238,0.714,2,0.2,0.0,2002,,,13.0,14,조효상,한화,0.238,4,8.0,2,4.00,0,0.00,3.90,0.238,1.8,0.226,2002,,,,
173,15,16,강성우,SK,0.216,62,100,88,2,19,2,0,0.0,21,8,8,2,2002,,14.0,15,임수민,한화,0.227,40.0,0,7,78,10,0.358,0.313,0.671,19,0.221,0.25,2002,,,14.0,15,임수민,한화,0.227,27,91.0,116,0.78,0,0.51,4.14,0.131,40.9,0.23,2002,,,,
174,16,17,양용모,SK,0.215,74,116,107,14,23,8,0,1.0,34,10,5,1,2002,,15.0,16,조경택,한화,0.204,13.0,0,3,41,3,0.318,0.277,0.595,5,0.179,0.0,2002,,,15.0,16,조경택,한화,0.204,10,49.0,35,1.40,0,0.32,3.96,0.115,13.5,0.204,2002,,,,
175,17,18,조경환,SK,0.214,93,310,280,37,60,15,3,13.0,120,33,2,2,2002,,16.0,17,백재호,한화,0.202,14.0,0,1,42,2,0.409,0.258,0.667,8,0.231,0.0,2002,,,16.0,17,백재호,한화,0.202,20,61.0,52,1.17,0,0.33,4.18,0.207,21.4,0.218,2002,,,,
176,18,19,정상호,SK,0.179,28,43,39,1,7,0,0,0.0,7,4,1,1,2002,,17.0,18,김수연,한화,0.201,9.0,0,2,40,1,0.246,0.243,0.489,8,0.098,0.133,2002,,,17.0,18,김수연,한화,0.201,7,72.0,47,1.53,0,0.23,3.77,0.045,12.1,0.171,2002,,,,
177,19,20,김동건,SK,0.167,10,6,6,0,1,0,0,0.0,1,0,0,0,2002,,18.0,19,조현,한화,0.200,0.0,0,0,2,0,0.200,0.200,0.400,0,0.0,0.25,2002,,,18.0,19,조현,한화,0.200,0,1.0,1,1.00,0,0.00,4.00,0.000,0.1,0.14,2002,,,,
178,20,21,강혁,SK,0.149,31,49,47,3,7,2,0,0.0,9,2,0,0,2002,,19.0,20,김종석,한화,0.188,22.0,1,0,41,6,0.269,0.273,0.542,8,0.26,0.24,2002,,,19.0,20,김종석,한화,0.188,11,65.0,46,1.41,0,0.54,3.74,0.081,12.4,0.19,2002,,,,
179,21,22,김강민,SK,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,20.0,21,신국환,한화,0.167,0.0,0,0,2,1,0.167,0.143,0.310,0,0.0,0.0,2002,,,20.0,21,신국환,한화,0.167,0,3.0,1,3.00,0,0.00,2.63,0.000,0.1,0.106,2002,,,,
180,22,22,박계원,SK,-,3,0,0,1,0,0,0,0.0,0,0,0,0,2002,,21.0,21,조정권,한화,0.167,0.0,0,0,4,0,0.167,0.167,0.334,0,0.0,0.0,2002,,,21.0,21,조정권,한화,0.167,0,5.0,1,5.00,0,0.00,2.92,0.000,0.1,0.117,2002,,,,
181,23,22,오승준,SK,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,22.0,23,송혁,한화,0.100,2.0,0,0,3,0,0.100,0.250,0.350,0,0.0,0.1,2002,,,22.0,23,송혁,한화,0.100,0,3.0,3,1.00,0,0.67,4.67,0.000,0.3,0.138,2002,,,,
