,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,HR홈런,index,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,year,OBP출루율,BB볼넷,index,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year,BB/K볼넷/삼진,GO땅볼,ISOP순수장타율,GO/AO땅볼/뜬공
1081,15,16,전근표,현대,0.208,37,111,96,12,20,7,0,2.0,33,4,0,0,2005,,24.0,23,김명제,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,24.0,23,김명제,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1082,16,17,조승현,현대,0.200,5,6,5,0,1,0,0,0.0,1,0,0,0,2005,,25.0,23,김태영,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,25.0,23,김태영,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1083,17,18,유한준,현대,0.192,18,28,26,3,5,1,0,1.0,9,5,0,0,2005,,26.0,23,김성배,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,26.0,23,김성배,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1084,18,19,지석훈,현대,0.179,61,112,106,10,19,3,0,2.0,28,8,2,0,2005,,27.0,23,김승회,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,27.0,23,김승회,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1085,19,20,오윤,현대,0.100,9,10,10,0,1,0,0,0.0,1,1,0,0,2005,,28.0,23,김현수,두산,0.000,0.0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,2006,,,28.0,23,김현수,두산,0.000,0,0.0,1,0.00,0,-,3.00,0.000,-0.1,0.0,2006,,,,
1086,20,20,장교성,현대,0.100,37,45,40,3,4,1,0,0.0,5,1,0,0,2005,,29.0,23,랜들,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,29.0,23,랜들,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1087,21,22,김민범,현대,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2005,,0.0,23,리오스,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,0.0,23,리오스,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1088,22,22,김성태,현대,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2005,,1.0,23,박명환,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,1.0,23,박명환,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1089,23,22,노병오,현대,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2005,,2.0,23,박정배,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,2.0,23,박정배,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1090,24,22,노환수,현대,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2005,,3.0,23,서동환,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,3.0,23,서동환,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1091,25,22,박승민,현대,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2005,,4.0,23,원용묵,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,4.0,23,원용묵,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1092,26,22,송신영,현대,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2005,,5.0,23,이대현,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,5.0,23,이대현,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1093,27,22,오재일,현대,0.000,1,1,1,0,0,0,0,0.0,0,0,0,0,2005,,6.0,23,이승엽,두산,0.000,1.0,0,0,7,0,0.000,0.083,0.083,0,0.0,0.0,2006,,,6.0,23,이승엽,두산,0.000,0,2.0,2,1.00,0,0.14,3.83,0.000,-0.7,0.037,2006,,,,
1094,28,22,유덕형,현대,0.000,3,2,2,0,0,0,0,0.0,0,0,0,0,2005,,7.0,23,이원희,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,7.0,23,이원희,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1095,29,22,이동학,현대,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2005,,8.0,23,이혜천,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,8.0,23,이혜천,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1096,0,22,이보근,현대,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2005,,9.0,23,이호성,두산,0.000,0.0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,2006,,,9.0,23,이호성,두산,0.000,0,0.0,0,-,0,0.00,4.00,0.000,-0.1,0.0,2006,,,,
1097,1,22,이상현,현대,-,4,1,0,0,0,0,0,0.0,0,0,0,0,2005,,10.0,23,장교성,두산,0.000,1.0,0,0,0,1,0.000,0.250,0.250,0,0.0,0.0,2006,,,10.0,23,장교성,두산,0.000,0,3.0,0,-,0,-,2.50,0.000,-0.3,0.113,2006,,,,
1098,2,22,정민태,현대,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2005,,11.0,23,정재훈,두산,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,11.0,23,정재훈,두산,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1099,3,22,조용준,현대,-,4,0,0,0,0,0,0,0.0,0,0,0,0,2005,,12.0,23,최주환,두산,0.000,0.0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0,2006,,,12.0,23,최주환,두산,0.000,0,1.0,0,-,0,0.00,5.00,0.000,-0.3,0.0,2006,,,,
1100,4,22,차화준,현대,0.000,4,5,5,0,0,0,0,0.0,0,0,0,0,2005,,0.0,1,이병규,LG,0.297,31.0,5,4,65,8,0.406,0.344,0.750,46,0.298,0.0,2006,,,0.0,1,이병규,LG,0.297,37,155.0,117,1.32,0,0.48,3.34,0.109,62.5,0.256,2006,,,,
1101,5,22,허준,현대,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2005,,1.0,2,박가람,LG,0.294,0.0,0,1,4,0,0.294,0.333,0.627,1,0.25,0.0,2006,,,1.0,2,박가람,LG,0.294,0,3.0,5,0.60,0,0.00,2.57,0.000,2.0,0.223,2006,,,,
1102,6,22,황두성,현대,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2005,,2.0,2,박용택,LG,0.294,50.0,6,2,93,7,0.462,0.361,0.823,37,0.236,0.5,2006,,,2.0,2,박용택,LG,0.294,45,130.0,117,1.11,0,0.54,3.86,0.168,81.0,0.278,2006,,,,
1103,0,1,이종범,KIA,0.312,118,495,430,69,134,25,2,6.0,181,36,7,0,2005,,3.0,4,마해영,LG,0.270,24.0,2,5,54,7,0.379,0.333,0.712,22,0.197,0.0,2006,,,3.0,4,마해영,LG,0.270,19,81.0,75,1.08,0,0.44,3.65,0.110,35.9,0.245,2006,,,,
1104,1,2,장성호,KIA,0.300,123,533,464,70,139,23,1,16.0,212,74,1,4,2005,,4.0,5,최승환,LG,0.263,4.0,0,1,15,0,0.368,0.323,0.691,1,0.231,0.0,2006,,,4.0,5,최승환,LG,0.263,4,13.0,14,0.93,0,0.27,3.81,0.105,6.9,0.237,2006,,,,
1105,2,3,홍세완,KIA,0.284,90,386,345,45,98,15,1,9.0,142,46,1,2,2005,,5.0,6,정의윤,LG,0.259,13.0,0,5,39,7,0.377,0.311,0.688,18,0.254,0.143,2006,,,5.0,6,정의윤,LG,0.259,15,71.0,67,1.06,0,0.33,3.47,0.117,26.4,0.234,2006,,,,
1106,3,4,손지환,KIA,0.278,107,357,316,37,88,13,0,11.0,134,44,5,3,2005,,6.0,7,이대형,LG,0.258,5.0,0,0,35,1,0.277,0.281,0.558,8,0.36,0.385,2006,,,6.0,7,이대형,LG,0.258,3,59.0,21,2.81,0,0.14,3.27,0.019,11.9,0.196,2006,,,,
1107,4,5,김경언,KIA,0.271,78,202,188,23,51,10,1,5.0,78,19,4,0,2005,,7.0,8,최길성,LG,0.256,27.0,0,2,53,5,0.380,0.330,0.710,17,0.277,0.111,2006,,,7.0,8,최길성,LG,0.256,21,62.0,74,0.84,0,0.51,3.79,0.124,32.9,0.244,2006,,,,
1108,5,6,마해영,KIA,0.266,94,387,338,46,90,17,0,12.0,143,60,2,4,2005,,8.0,9,이종열,LG,0.252,18.0,0,2,36,5,0.344,0.303,0.647,18,0.315,0.357,2006,,,8.0,9,이종열,LG,0.252,16,93.0,69,1.35,0,0.50,3.49,0.092,27.7,0.222,2006,,,,
1109,6,7,이용규,KIA,0.266,124,479,414,57,110,17,2,5.0,146,37,14,3,2005,,9.0,10,조인성,LG,0.245,28.0,5,0,30,11,0.393,0.303,0.696,19,0.235,0.0,2006,,,9.0,10,조인성,LG,0.245,28,93.0,125,0.74,0,0.93,3.59,0.147,36.6,0.235,2006,,,,
1110,7,8,송산,KIA,0.264,75,141,125,14,33,4,0,3.0,46,19,5,0,2005,,10.0,11,박기남,LG,0.243,14.0,0,0,29,1,0.336,0.305,0.641,6,0.194,0.25,2006,,,10.0,11,박기남,LG,0.243,6,47.0,40,1.18,0,0.48,3.76,0.092,17.2,0.221,2006,,,,
1111,8,9,심재학,KIA,0.254,94,309,252,34,64,9,0,12.0,109,39,3,4,2005,,11.0,12,최만호,LG,0.240,4.0,0,2,18,1,0.440,0.321,0.761,4,0.143,0.1,2006,,,11.0,12,최만호,LG,0.240,4,11.0,9,1.22,0,0.22,4.15,0.200,7.6,0.254,2006,,,,
1112,9,10,이재주,KIA,0.250,79,148,124,10,31,8,0,5.0,54,19,0,0,2005,,12.0,13,안재만,LG,0.236,10.0,0,0,38,5,0.368,0.274,0.642,9,0.188,0.15,2006,,,12.0,13,안재만,LG,0.236,17,51.0,46,1.11,0,0.26,3.80,0.132,17.1,0.215,2006,,,,
1113,10,10,차일목,KIA,0.250,6,10,8,2,2,0,0,0.0,2,1,1,0,2005,,13.0,14,권용관,LG,0.234,13.0,1,4,37,4,0.306,0.291,0.597,10,0.171,0.0,2006,,,13.0,14,권용관,LG,0.234,8,66.0,58,1.14,0,0.35,3.54,0.072,19.3,0.207,2006,,,,
1114,11,12,김종국,KIA,0.235,117,429,374,39,88,15,3,4.0,121,40,10,5,2005,,14.0,15,추승우,LG,0.231,2.0,0,2,8,0,0.269,0.276,0.545,1,0.2,0.227,2006,,,14.0,15,추승우,LG,0.231,2,21.0,13,1.62,0,0.25,3.26,0.038,5.1,0.191,2006,,,,
1115,12,13,김상훈,KIA,0.235,105,338,298,29,70,8,0,8.0,102,40,8,4,2005,,15.0,16,이성열,LG,0.217,11.0,0,8,46,2,0.333,0.317,0.650,5,0.233,0.214,2006,,,15.0,16,이성열,LG,0.217,10,26.0,25,1.04,0,0.24,3.97,0.117,14.7,0.226,2006,,,,
1116,13,14,임성민,KIA,0.232,47,62,56,12,13,2,0,1.0,18,3,0,0,2005,,16.0,17,박경수,LG,0.210,36.0,0,4,72,6,0.295,0.293,0.588,13,0.197,0.0,2006,,,16.0,17,박경수,LG,0.210,14,83.0,108,0.77,0,0.50,3.97,0.085,31.8,0.206,2006,,,,
1117,14,15,홍현우,KIA,0.220,25,64,59,6,13,3,0,1.0,19,1,2,0,2005,,17.0,18,오태근,LG,0.200,14.0,0,6,35,2,0.303,0.281,0.584,11,0.25,0.25,2006,,,17.0,18,오태근,LG,0.200,14,64.0,42,1.52,0,0.40,3.56,0.103,15.9,0.202,2006,,,,
1118,15,16,김민철,KIA,0.218,101,203,179,21,39,7,3,0.0,52,13,11,0,2005,,18.0,19,서용빈,LG,0.192,5.0,0,0,13,2,0.288,0.241,0.529,0,0.2,0.4,2006,,,18.0,19,서용빈,LG,0.192,5,26.0,21,1.24,0,0.38,3.74,0.096,4.2,0.18,2006,,,,
1119,16,17,김경진,KIA,0.210,42,81,62,12,13,3,0,1.0,19,7,3,2,2005,,19.0,20,최동수,LG,0.190,7.0,0,1,21,5,0.240,0.245,0.485,3,0.235,0.217,2006,,,19.0,20,최동수,LG,0.190,3,35.0,27,1.30,0,0.33,3.48,0.050,5.1,0.17,2006,,,,
1120,17,18,김주형,KIA,0.172,39,114,99,6,17,3,0,0.0,20,6,2,0,2005,,20.0,21,김우석,LG,0.167,2.0,0,0,8,1,0.167,0.231,0.398,1,0.0,0.0,2006,,,20.0,21,김우석,LG,0.167,0,6.0,6,1.00,0,0.25,4.00,0.000,0.5,0.146,2006,,,,
1121,18,19,장일현,KIA,0.133,11,16,15,0,2,0,0,0.0,2,0,0,0,2005,,21.0,22,박병호,LG,0.162,9.0,0,2,42,4,0.292,0.227,0.519,2,0.156,0.0,2006,,,21.0,22,박병호,LG,0.162,7,31.0,36,0.86,0,0.21,4.21,0.131,7.0,0.175,2006,,,,
1122,19,20,신동주,KIA,0.094,23,35,32,2,3,0,0,0.0,3,0,0,0,2005,,22.0,23,이시찬,LG,0.148,0.0,0,0,6,0,0.148,0.148,0.296,1,0.0,0.0,2006,,,22.0,23,이시찬,LG,0.148,0,8.0,9,0.89,0,0.00,3.21,0.000,0.1,0.104,2006,,,,
1123,20,21,최훈락,KIA,0.091,24,24,22,3,2,1,0,0.0,3,3,0,0,2005,,23.0,24,이병규,LG,0.125,0.0,0,0,1,1,0.125,0.125,0.250,0,0.0,0.2,2006,,,23.0,24,이병규,LG,0.125,0,3.0,3,1.00,0,0.00,2.50,0.000,-0.5,0.088,2006,,,,
1124,21,22,김원섭,KIA,0.040,28,26,25,5,1,0,0,0.0,1,0,0,0,2005,,24.0,25,안치용,LG,0.071,3.0,0,0,8,0,0.071,0.161,0.232,0,0.0,0.0,2006,,,24.0,25,안치용,LG,0.071,0,5.0,13,0.38,0,0.38,3.77,0.000,-0.4,0.09,2006,,,,
1125,22,23,김성호,KIA,0.000,2,2,2,0,0,0,0,0.0,0,0,0,0,2005,,25.0,26,김정민,LG,0.048,0.0,0,1,4,1,0.048,0.091,0.139,0,0.0,0.0,2006,,,25.0,26,김정민,LG,0.048,0,11.0,5,2.20,0,0.00,3.73,0.000,-1.4,0.053,2006,,,,
1126,23,23,백정훈,KIA,0.000,1,1,1,0,0,0,0,0.0,0,0,0,0,2005,,26.0,27,강상수,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,26.0,27,강상수,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1127,24,23,서동욱,KIA,0.000,12,7,6,0,0,0,0,0.0,0,0,0,0,2005,,27.0,27,경헌호,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,27.0,27,경헌호,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1128,25,23,신용운,KIA,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2005,,28.0,27,김재현,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,28.0,27,김재현,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1129,26,23,윤석민,KIA,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2005,,29.0,27,신윤호,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,29.0,27,신윤호,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1130,27,23,윤형진,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2005,,0.0,27,안상준,LG,0.000,0.0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,2006,,,0.0,27,안상준,LG,0.000,0,0.0,0,-,0,0.00,4.00,0.000,-0.1,0.0,2006,,,,
1131,28,23,이범석,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2005,,1.0,27,우규민,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,1.0,27,우규민,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1132,29,23,이영수,KIA,0.000,4,2,2,0,0,0,0,0.0,0,0,0,0,2005,,2.0,27,정재복,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,2.0,27,정재복,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1133,0,23,전병두,KIA,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2005,,3.0,27,최승준,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,3.0,27,최승준,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1134,1,23,주창훈,KIA,0.000,1,3,2,1,0,0,0,0.0,0,0,0,0,2005,,4.0,27,황선일,LG,0.000,0.0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0,2006,,,4.0,27,황선일,LG,0.000,0,0.0,0,-,0,0.00,3.50,0.000,-0.2,0.0,2006,,,,
1135,0,1,양준혁,삼성,0.303,126,533,413,63,125,31,1,13.0,197,81,1,7,2006,,0.0,1,김성현,SK,1.000,0.0,0,0,0,0,1.000,1.000,2.000,0,0.0,0.0,2006,,,0.0,1,김성현,SK,1.000,0,0.0,0,-,0,-,1.00,0.000,0.5,0.7,2006,,,,
1136,1,2,진갑용,삼성,0.288,110,408,358,28,103,22,0,6.0,143,47,9,7,2006,,1.0,2,이재원,SK,0.313,1.0,0,0,9,2,0.313,0.327,0.640,4,0.273,0.286,2006,,,1.0,2,이재원,SK,0.313,0,9.0,15,0.60,0,0.11,3.12,0.000,4.1,0.225,2006,,,,
1137,2,3,박한이,삼성,0.285,126,567,471,89,134,21,2,6.0,177,43,7,3,2006,,2.0,3,시오타니,SK,0.297,7.0,1,2,12,2,0.440,0.350,0.790,7,0.375,0.0,2006,,,2.0,3,시오타니,SK,0.297,7,28.0,27,1.04,0,0.58,3.52,0.143,14.9,0.268,2006,,,,
1138,3,4,조영훈,삼성,0.283,88,204,180,15,51,11,1,2.0,70,26,5,2,2006,,3.0,4,김재현,SK,0.287,76.0,3,6,56,10,0.404,0.418,0.822,22,0.32,0.6,2006,,,3.0,4,김재현,SK,0.287,25,106.0,94,1.13,0,1.36,4.27,0.118,64.2,0.289,2006,,,,
1139,4,5,박진만,삼성,0.283,115,452,382,54,108,22,1,11.0,165,65,2,5,2006,,4.0,5,정근우,SK,0.284,36.0,1,4,60,3,0.402,0.342,0.744,35,0.289,0.25,2006,,,4.0,5,정근우,SK,0.284,31,123.0,129,0.95,0,0.60,3.45,0.119,66.0,0.254,2006,,,,
1140,5,6,조동찬,삼성,0.259,107,421,370,51,96,13,0,10.0,139,46,15,1,2006,,5.0,6,피커링,SK,0.278,31.0,1,5,62,5,0.458,0.382,0.840,16,0.259,1.0,2006,,,5.0,6,피커링,SK,0.278,20,59.0,33,1.79,0,0.50,4.11,0.179,37.1,0.286,2006,,,,
1141,6,7,김한수,삼성,0.254,103,396,343,41,87,15,0,7.0,123,54,2,4,2006,,6.0,7,김강민,SK,0.276,14.0,1,1,30,3,0.372,0.342,0.714,7,0.216,0.15,2006,,,6.0,7,김강민,SK,0.276,11,38.0,38,1.00,0,0.47,3.72,0.097,18.1,0.247,2006,,,,
1142,7,8,이태호,삼성,0.250,10,6,4,0,1,0,0,0.0,1,0,0,0,2006,,7.0,8,이진영,SK,0.273,41.0,2,2,52,8,0.381,0.340,0.721,33,0.225,0.667,2006,,,7.0,8,이진영,SK,0.273,24,141.0,118,1.19,0,0.79,3.48,0.107,54.1,0.248,2006,,,,
1143,8,9,김대익,삼성,0.243,107,269,239,18,58,6,1,2.0,72,23,6,3,2006,,8.0,9,김재구,SK,0.269,3.0,0,1,16,3,0.519,0.316,0.835,0,0.278,0.25,2006,,,8.0,9,김재구,SK,0.269,7,13.0,10,1.30,0,0.19,4.18,0.250,8.0,0.272,2006,,,,
1144,9,10,박종호,삼성,0.238,104,330,273,22,65,13,0,1.0,81,30,16,4,2006,,9.0,10,박재홍,SK,0.259,63.0,4,6,87,13,0.431,0.353,0.784,30,0.287,0.0,2006,,,9.0,10,박재홍,SK,0.259,41,117.0,137,0.85,0,0.72,4.13,0.173,71.9,0.267,2006,,,,
1145,10,11,강봉규,삼성,0.234,87,145,128,16,30,6,1,4.0,50,16,1,2,2006,,10.0,11,이대수,SK,0.253,25.0,0,5,68,6,0.351,0.307,0.658,26,0.149,0.0,2006,,,10.0,11,이대수,SK,0.253,24,112.0,109,1.03,0,0.37,3.98,0.098,41.6,0.226,2006,,,,
1146,11,12,이정식,삼성,0.229,69,92,83,13,19,5,0,2.0,30,9,1,0,2006,,11.0,12,박경완,SK,0.253,37.0,5,9,91,5,0.414,0.342,0.756,22,0.195,0.25,2006,,,11.0,12,박경완,SK,0.253,26,71.0,84,0.85,0,0.41,4.10,0.160,48.4,0.257,2006,,,,
1147,12,13,김창희,삼성,0.221,114,351,307,35,68,12,1,8.0,106,38,7,3,2006,,12.0,13,박재상,SK,0.250,14.0,0,3,40,2,0.384,0.314,0.698,7,0.306,0.353,2006,,,12.0,13,박재상,SK,0.250,15,39.0,52,0.75,0,0.35,4.07,0.134,21.3,0.237,2006,,,,
1148,13,14,김재걸,삼성,0.211,115,189,171,35,36,6,1,0.0,44,11,5,0,2006,,13.0,14,김태균,SK,0.224,20.0,0,3,54,3,0.279,0.295,0.574,7,0.089,0.333,2006,,,13.0,14,김태균,SK,0.224,9,70.0,48,1.46,0,0.37,3.66,0.055,19.5,0.203,2006,,,,
1149,14,15,김종훈,삼성,0.202,96,185,163,18,33,7,0,0.0,40,6,8,0,2006,,14.0,15,최정,SK,0.221,14.0,1,7,90,6,0.389,0.275,0.664,13,0.238,0.455,2006,,,14.0,15,최정,SK,0.221,23,55.0,74,0.74,0,0.16,4.17,0.168,29.5,0.221,2006,,,,
1150,15,16,박정환,삼성,0.165,43,100,91,8,15,1,0,0.0,16,2,5,0,2006,,15.0,16,정경배,SK,0.210,18.0,0,3,32,5,0.302,0.279,0.581,9,0.277,0.25,2006,,,15.0,16,정경배,SK,0.210,13,63.0,70,0.90,0,0.56,3.93,0.093,16.8,0.201,2006,,,,
1151,16,17,심정수,삼성,0.141,26,96,85,8,12,1,0,1.0,16,7,0,1,2006,,16.0,17,조동화,SK,0.201,11.0,0,2,25,1,0.281,0.266,0.547,5,0.3,0.182,2006,,,16.0,17,조동화,SK,0.201,7,45.0,43,1.05,0,0.44,3.66,0.079,12.9,0.19,2006,,,,
1152,17,18,김영복,삼성,0.091,7,11,11,2,1,0,0,0.0,1,0,0,0,2006,,17.0,18,조중근,SK,0.188,2.0,0,2,30,3,0.250,0.224,0.474,2,0.222,0.156,2006,,,17.0,18,조중근,SK,0.188,3,14.0,22,0.64,0,0.07,3.77,0.063,4.0,0.163,2006,,,,
1153,18,19,강명구,삼성,0.053,91,24,19,22,1,0,0,0.0,1,1,0,0,2006,,18.0,19,최경철,SK,0.183,6.0,0,0,19,3,0.183,0.247,0.430,2,0.25,0.0,2006,,,18.0,19,최경철,SK,0.183,0,23.0,16,1.44,0,0.32,3.74,0.000,2.2,0.157,2006,,,,
1154,19,20,강영식,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2006,,19.0,20,김동건,SK,0.156,2.0,0,2,10,0,0.250,0.250,0.500,0,0.167,0.25,2006,,,19.0,20,김동건,SK,0.156,2,7.0,10,0.70,0,0.20,3.46,0.094,2.2,0.175,2006,,,,
1155,20,20,김효남,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2006,,20.0,21,김형철,SK,0.149,2.0,0,0,12,1,0.170,0.184,0.354,1,0.1,0.0,2006,,,20.0,21,김형철,SK,0.149,1,17.0,11,1.55,0,0.17,4.12,0.021,0.8,0.125,2006,,,,
1156,21,20,양영동,삼성,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2006,,21.0,22,고효준,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,21.0,22,고효준,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1157,22,20,오승환,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2006,,22.0,22,송은범,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,22.0,22,송은범,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1158,23,20,임동규,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2006,,23.0,22,양승학,SK,0.000,0.0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,2006,,,23.0,22,양승학,SK,0.000,0,0.0,0,-,0,0.00,3.00,0.000,-0.1,0.0,2006,,,,
1159,24,20,조현근,삼성,0.000,1,1,1,0,0,0,0,0.0,0,0,0,0,2006,,24.0,22,윤길현,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,24.0,22,윤길현,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1160,25,20,채형직,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2006,,25.0,22,이영욱,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,25.0,22,이영욱,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1161,0,1,김태완,한화,0.500,4,4,4,0,2,0,0,0.0,2,3,0,0,2006,,26.0,22,장찬,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,26.0,22,장찬,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1162,1,2,송광민,한화,0.350,18,20,20,4,7,0,0,2.0,13,5,0,0,2006,,27.0,22,정대현,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,27.0,22,정대현,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1163,2,3,백재호,한화,0.349,42,100,86,8,30,5,0,1.0,38,12,1,0,2006,,28.0,22,정병희,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,28.0,22,정병희,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1164,3,4,김태균,한화,0.291,124,511,423,66,123,27,0,13.0,189,73,0,4,2006,,29.0,22,정우람,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,29.0,22,정우람,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1165,4,5,데이비스,한화,0.284,117,479,415,62,118,21,0,21.0,202,74,0,5,2006,,0.0,22,조웅천,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,0.0,22,조웅천,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1166,5,6,클리어,한화,0.271,93,323,284,37,77,14,0,7.0,112,25,0,1,2006,,1.0,22,카브레라,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,1.0,22,카브레라,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1167,6,7,조원우,한화,0.267,106,391,341,48,91,10,0,1.0,104,25,11,4,2006,,2.0,22,홍명찬,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2006,,,2.0,22,홍명찬,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2006,,,,
1168,7,8,이범호,한화,0.257,126,497,421,53,108,25,1,20.0,195,73,1,3,2006,,0.0,1,김태완,한화,0.500,0.0,0,0,1,0,0.500,0.500,1.000,0,1.0,0.5,2006,,,0.0,1,김태완,한화,0.500,0,1.0,0,-,0,0.00,3.00,0.000,0.8,0.35,2006,,,,
