,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
23,23,21,김진웅,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,1.0,0,0,5,1,0.136,0.174,0.310,0,0.143,0.0,0,9.0,5,1.80,0,0.20,4.30,0.000,-0.3,0.112
24,24,21,노병오,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,2.0,0,0,18,0,0.167,0.132,0.299,0,0.182,0.1,2,8.0,7,1.14,0,0.11,4.47,0.083,-0.2,0.101
25,25,21,노장진,삼성,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
26,26,21,라형진,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
27,27,21,박봉수,삼성,0.000,8,7,6,0,0,0,0,0.0,0,0,0,0,2002,0.0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,0,2.0,0,-,0,-,3.00,0.000,0.0,0.0
28,28,21,손주인,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
29,29,21,오상민,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,0.0,0,0,0,0,0.800,0.400,1.200,0,0.0,0.0,2,2.0,1,2.00,0,-,2.83,0.400,1.2,0.38
30,0,21,이태호,삼성,0.000,8,7,6,2,0,0,0,0.0,0,0,1,0,2002,46.0,5,12,74,14,0.592,0.386,0.978,53,0.313,0.0,75,142.0,150,0.95,0,0.62,3.54,0.269,110.6,0.322
31,1,21,임창용,삼성,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2002,89.0,5,15,109,11,0.689,0.436,1.125,47,0.331,0.0,91,103.0,136,0.76,0,0.82,4.13,0.366,136.1,0.368
32,2,21,장성국,삼성,0.000,9,8,8,0,0,0,0,0.0,0,0,0,0,2002,35.0,2,14,61,15,0.467,0.371,0.838,44,0.287,0.0,41,153.0,125,1.22,0,0.57,3.69,0.156,79.0,0.284
33,0,1,김재현,LG,0.334,98,370,296,50,99,14,0,16.0,161,61,0,2,2002,46.0,0,1,76,9,0.408,0.352,0.760,36,0.33,0.0,35,150.0,107,1.40,0,0.61,3.97,0.120,65.0,0.26
34,1,2,김상현,LG,0.313,31,42,32,7,10,0,1,1.0,15,6,0,0,2002,0.0,0,0,2,0,0.714,0.286,1.000,1,0.0,0.0,1,2.0,1,2.00,0,0.00,2.57,0.429,1.5,0.307
35,2,3,류지현,LG,0.310,91,386,326,51,101,14,3,1.0,124,25,16,4,2002,35.0,3,21,84,10,0.499,0.355,0.854,40,0.286,0.0,54,114.0,151,0.75,0,0.42,3.61,0.216,82.4,0.285
36,3,4,이병규,LG,0.293,109,444,389,54,114,25,0,12.0,175,43,1,2,2002,41.0,4,8,56,13,0.465,0.347,0.812,34,0.358,0.0,48,134.0,147,0.91,0,0.73,3.78,0.184,71.5,0.272
37,4,5,박용택,LG,0.288,112,424,375,68,108,28,6,9.0,175,55,1,4,2002,26.0,1,3,43,7,0.389,0.372,0.761,13,0.275,0.205,14,68.0,29,2.34,0,0.60,4.00,0.109,27.7,0.265
38,5,6,서용빈,LG,0.286,88,301,273,35,78,16,1,3.0,105,27,2,1,2002,39.0,3,5,56,9,0.453,0.349,0.802,27,0.237,0.214,39,107.0,121,0.88,0,0.70,3.73,0.176,58.5,0.27
39,6,7,마르티네스,LG,0.279,109,468,409,59,114,19,1,15.0,180,69,0,6,2002,60.0,3,6,79,15,0.387,0.355,0.742,39,0.242,0.0,36,168.0,122,1.38,0,0.76,3.96,0.115,67.0,0.257
40,7,8,조인성,LG,0.268,124,391,362,36,97,21,2,9.0,149,48,5,5,2002,1.0,0,1,1,0,0.500,0.500,1.000,0,0.0,0.0,1,1.0,1,1.00,0,1.00,4.17,0.250,1.1,0.35
41,8,9,이종열,LG,0.267,95,400,348,51,93,16,3,7.0,136,44,13,1,2002,35.0,0,6,79,9,0.370,0.320,0.690,14,0.133,0.5,23,100.0,65,1.54,0,0.44,3.98,0.136,39.2,0.237
42,9,10,최만호,LG,0.248,93,158,129,23,32,4,2,2.0,46,12,10,0,2002,0.0,0,0,5,2,0.364,0.227,0.591,1,0.0,0.2,1,6.0,6,1.00,0,0.00,2.77,0.136,1.1,0.193
43,10,11,이일의,LG,0.246,72,137,122,13,30,5,0,1.0,38,8,1,1,2002,8.0,0,0,26,0,0.283,0.265,0.548,5,0.12,0.0,3,32.0,17,1.88,0,0.31,3.78,0.076,9.0,0.19
44,11,12,안상준,LG,0.245,41,59,49,7,12,1,0,0.0,13,3,1,0,2002,0.0,0,0,6,0,0.200,0.200,0.400,0,0.333,0.25,0,2.0,0,-,0,0.00,4.70,0.000,0.2,0.14
45,12,13,최동수,LG,0.243,106,300,268,28,65,13,0,4.0,90,31,3,3,2002,3.0,0,5,19,1,0.292,0.275,0.567,2,0.214,0.333,5,25.0,14,1.79,0,0.16,3.79,0.097,6.4,0.197
46,13,14,장재중,LG,0.222,69,120,108,13,24,2,1,2.0,34,7,3,0,2002,0.0,0,1,4,0,0.182,0.250,0.432,0,0.0,0.182,0,2.0,3,0.67,0,0.00,4.83,0.000,0.5,0.158
47,14,15,권용관,LG,0.218,125,327,294,28,64,13,1,4.0,91,32,16,2,2002,3.0,0,1,22,1,0.250,0.207,0.457,3,0.217,0.136,4,26.0,25,1.04,0,0.14,3.38,0.071,5.2,0.156
48,15,16,김정민,LG,0.216,32,39,37,3,8,3,0,0.0,11,4,0,0,2002,1.0,0,0,4,0,0.143,0.250,0.393,0,0.0,0.143,0,1.0,1,1.00,0,0.25,4.00,0.000,0.3,0.148
49,16,17,심성보,LG,0.215,72,166,149,13,32,4,1,3.0,47,13,3,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
50,17,18,손지환,LG,0.214,111,330,290,25,62,9,0,5.0,86,24,14,2,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
51,18,19,김우석,LG,0.200,43,31,30,5,6,0,1,0.0,8,3,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
52,19,19,추승우,LG,0.200,6,10,10,1,2,0,0,0.0,2,0,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
53,20,21,박연수,LG,0.198,60,94,81,15,16,1,0,5.0,32,18,1,2,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
54,21,22,김현민,LG,0.167,16,18,18,1,3,1,0,1.0,7,3,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
55,22,23,김재학,LG,0.154,12,14,13,1,2,0,0,0.0,2,1,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
56,23,24,김용우,LG,0.143,9,8,7,0,1,0,0,0.0,1,0,0,0,2002,1.0,0,0,0,0,0.000,0.143,0.143,0,0.0,0.0,0,3.0,3,1.00,0,-,4.29,0.000,-0.2,0.064
57,24,25,홍현우,LG,0.118,25,76,68,3,8,3,0,1.0,14,8,1,2,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
58,25,26,경헌호,LG,0.000,3,1,1,0,0,0,0,0.0,0,0,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
59,26,26,만자니오,LG,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,0.0,0,0,5,0,0.000,0.000,0.000,0,0.0,0.0,0,1.0,0,-,0,0.00,3.71,0.000,-0.5,0.0
60,27,26,서승화,LG,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
61,28,26,신윤호,LG,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2002,0.0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0,0,2.0,3,0.67,0,0.00,3.88,0.000,-0.7,0.0
62,29,26,안치용,LG,0.000,1,2,2,0,0,0,0,0.0,0,0,0,0,2002,0.0,0,0,0,0,0.667,0.333,1.000,0,0.0,0.5,1,2.0,0,-,0,-,4.33,0.333,0.5,0.317
63,0,26,류택현,LG,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2002,52.0,2,13,61,8,0.557,0.405,0.962,32,0.283,0.25,47,97.0,132,0.73,0,0.85,3.90,0.239,90.5,0.322
64,1,26,윤현식,LG,0.000,13,10,9,0,0,0,0,0.0,0,0,1,0,2002,5.0,0,0,14,0,0.523,0.357,0.880,3,0.381,0.368,8,14.0,17,0.82,0,0.36,3.44,0.215,11.8,0.291
65,2,26,이광우,LG,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,4.0,0,0,10,0,0.314,0.345,0.659,3,0.235,0.0,1,18.0,8,2.25,0,0.40,4.02,0.020,6.2,0.234
66,3,26,이동현,LG,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2002,37.0,1,5,63,17,0.454,0.350,0.804,32,0.321,0.0,35,132.0,115,1.15,0,0.59,3.71,0.164,64.3,0.271
