,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
2088,27,22,이동훈,롯데,0.000,4,3,3,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,3,0,1.000,0.400,1.400,0,0.0,0.0,2,0.0,0,-,0,0.00,3.80,0.600,1.5,0.43
2089,28,22,이정동,롯데,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,10.0,0,0,25,2,0.483,0.361,0.844,10,0.325,0.5,15,38.0,36,1.06,0,0.40,3.83,0.161,24.8,0.283
2090,29,22,이정민,롯데,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2009,50.0,5,5,83,17,0.542,0.397,0.939,38,0.342,0.5,49,108.0,99,1.09,0,0.60,4.18,0.222,79.5,0.314
2091,0,22,이정훈,롯데,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2009,2.0,0,1,7,0,0.480,0.367,0.847,0,0.3,0.286,2,3.0,9,0.33,0,0.29,3.60,0.160,5.5,0.285
2092,1,22,임경완,롯데,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2009,78.0,6,6,64,9,0.531,0.414,0.945,45,0.309,0.0,53,134.0,133,1.01,0,1.22,3.84,0.214,100.2,0.319
2093,2,22,장원준,롯데,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,45.0,1,4,46,3,0.397,0.383,0.780,41,0.359,0.0,23,135.0,106,1.27,0,0.98,3.85,0.085,65.9,0.272
2094,3,22,최만호,롯데,0.000,13,5,4,1,0,0,0,0.0,0,0,0,0,2009,67.0,4,10,45,15,0.506,0.407,0.913,31,0.219,0.0,42,102.0,131,0.78,0,1.49,3.89,0.212,77.6,0.31
2095,4,22,하준호,롯데,-,1,0,0,1,0,0,0,0.0,0,0,0,0,2009,31.0,2,8,28,2,0.431,0.453,0.884,4,0.353,0.286,10,31.0,34,0.91,0,1.11,4.38,0.138,28.6,0.312
2096,0,1,김주현,삼성,0.500,2,2,2,1,1,0,0,0.0,1,0,0,0,2009,9.0,2,0,14,0,0.343,0.367,0.710,7,0.3,0.0,3,19.0,17,1.12,0,0.64,3.80,0.057,10.0,0.251
2097,1,2,양준혁,삼성,0.329,82,322,249,51,82,16,0,11.0,131,48,1,5,2009,29.0,1,4,76,5,0.336,0.332,0.668,24,0.246,0.0,20,125.0,79,1.58,0,0.38,3.69,0.060,45.9,0.233
2098,2,3,박한이,삼성,0.311,110,394,334,48,104,29,2,2.0,143,36,6,3,2009,46.0,2,7,64,12,0.376,0.350,0.726,30,0.339,0.333,28,139.0,115,1.21,0,0.72,3.50,0.104,56.6,0.252
2099,3,4,강봉규,삼성,0.310,126,529,449,89,139,24,2,20.0,227,78,6,1,2009,26.0,1,4,44,5,0.426,0.334,0.760,18,0.263,0.333,26,74.0,97,0.76,0,0.59,3.69,0.158,40.4,0.257
2100,4,5,채태인,삼성,0.293,118,425,368,58,108,26,2,17.0,189,72,1,2,2009,40.0,1,8,68,12,0.471,0.348,0.819,27,0.292,0.0,35,107.0,102,1.05,0,0.59,3.74,0.203,60.7,0.274
2101,5,6,신명철,삼성,0.291,124,485,423,71,123,17,2,20.0,204,61,10,3,2009,40.0,0,13,136,6,0.504,0.343,0.847,29,0.273,0.0,52,81.0,95,0.85,0,0.29,3.89,0.241,72.5,0.28
2102,6,7,박석민,삼성,0.285,97,375,295,63,84,17,0,24.0,173,62,2,7,2009,6.0,1,1,27,0,0.536,0.308,0.844,3,0.188,0.2,13,25.0,20,1.25,0,0.22,3.97,0.278,16.0,0.273
2103,7,8,최형우,삼성,0.284,113,481,415,70,118,24,0,23.0,211,83,1,3,2009,3.0,0,0,8,1,0.295,0.292,0.587,1,0.273,0.0,2,14.0,12,1.17,0,0.38,3.37,0.045,4.0,0.205
2104,8,9,조동찬,삼성,0.256,75,252,215,34,55,8,0,8.0,87,29,6,2,2009,14.0,0,1,15,3,0.282,0.340,0.622,4,0.211,0.0,4,25.0,26,0.96,0,0.93,3.99,0.059,9.3,0.224
2105,9,10,박진만,삼성,0.256,76,258,223,22,57,11,0,6.0,86,29,3,4,2009,34.0,1,14,67,4,0.307,0.316,0.623,11,0.195,0.0,17,86.0,81,1.06,0,0.51,3.88,0.102,33.1,0.219
2106,10,11,이영욱,삼성,0.249,88,220,193,27,48,6,2,4.0,70,29,2,3,2009,3.0,0,3,12,1,0.182,0.240,0.422,1,0.0,0.0,2,18.0,8,2.25,0,0.25,3.79,0.045,1.7,0.154
2107,11,12,손주인,삼성,0.247,80,202,178,19,44,5,0,0.0,49,13,6,3,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2108,12,13,김상수,삼성,0.244,97,267,242,43,59,19,0,0.0,78,17,1,1,2009,0.0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,0,0.0,0,-,0,0.00,5.00,0.000,-0.1,0.0
2109,13,14,우동균,삼성,0.242,76,189,157,22,38,4,1,3.0,53,21,2,2,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2110,14,15,현재윤,삼성,0.241,99,282,245,28,59,13,2,2.0,82,20,9,1,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2111,15,16,김창희,삼성,0.238,71,144,126,7,30,5,0,0.0,35,14,1,1,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2112,16,17,허승민,삼성,0.233,21,36,30,6,7,1,1,0.0,10,1,2,1,2009,0.0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,0,2.0,0,-,0,-,3.50,0.000,-0.2,0.0
2113,17,18,진갑용,삼성,0.232,57,165,142,10,33,3,1,3.0,47,20,3,1,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2114,18,19,이지영,삼성,0.214,23,28,28,2,6,0,0,0.0,6,4,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2115,19,20,김재걸,삼성,0.212,64,65,52,7,11,2,0,1.0,16,4,2,0,2009,0.0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,0,0.0,0,-,0,0.00,4.00,0.000,-0.1,0.0
2116,20,21,채상병,삼성,0.192,49,111,104,8,20,3,0,2.0,29,9,3,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2117,21,22,오정복,삼성,0.143,6,7,7,0,1,0,0,0.0,1,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2118,22,23,권혁,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2119,23,23,박민규,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2120,24,23,백정현,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2121,25,23,심광호,삼성,0.000,2,5,5,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2122,26,23,안지만,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,32.0,0,1,40,7,0.460,,0.841,36,0.37,0.5,35,131.0,86,1.52,0,0.80,3.64,0.130,62.9,0.286
2123,27,23,오승환,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,5.0,0,0,14,1,0.484,,0.846,2,0.318,0.318,6,14.0,16,0.88,0,0.36,3.75,0.161,11.2,0.284
2124,28,23,정형식,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,41.0,8,3,83,19,0.558,,0.932,42,0.355,0.0,53,94.0,140,0.67,0,0.49,3.51,0.241,85.5,0.308
2125,29,23,조현근,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,38.0,3,4,55,10,0.484,,0.861,28,0.25,0.333,32,88.0,95,0.93,0,0.69,4.09,0.181,59.1,0.291
2126,0,23,차우찬,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,38.0,3,5,64,6,0.430,,0.802,34,0.294,0.308,30,102.0,94,1.09,0,0.59,3.74,0.130,59.6,0.275
2127,1,23,최원제,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,44.0,1,3,58,4,0.479,,0.868,26,0.323,0.2,30,77.0,83,0.93,0,0.76,4.22,0.179,57.4,0.295
2128,0,1,김동수,히어로즈,0.368,29,70,57,14,21,6,0,2.0,33,13,2,1,2009,2.0,0,2,16,0,0.294,,0.633,1,0.286,0.323,0,12.0,9,1.33,0,0.13,4.33,0.000,6.1,0.226
2129,1,2,이택근,히어로즈,0.311,123,538,456,84,142,26,0,15.0,213,66,1,4,2009,36.0,5,1,53,11,0.396,,0.741,39,0.291,0.067,24,136.0,104,1.31,0,0.68,3.61,0.106,54.0,0.254
2130,2,3,이숭용,히어로즈,0.296,114,422,362,47,107,20,3,4.0,145,52,4,6,2009,41.0,1,4,58,14,0.356,,0.698,24,0.255,0.143,25,127.0,86,1.48,0,0.71,3.99,0.093,43.3,0.243
2131,3,4,클락,히어로즈,0.290,125,559,486,85,141,24,4,24.0,245,90,0,2,2009,7.0,0,2,20,2,0.384,,0.708,5,0.343,0.167,6,27.0,26,1.04,0,0.35,3.87,0.121,12.9,0.242
2132,4,5,송지만,히어로즈,0.289,115,439,374,69,108,15,3,22.0,195,67,1,4,2009,58.0,0,2,76,3,0.304,,0.645,34,0.308,0.25,17,196.0,94,2.09,0,0.76,3.79,0.043,61.5,0.229
2133,5,6,강정호,히어로즈,0.286,133,538,476,73,136,33,2,23.0,242,81,8,5,2009,30.0,0,16,52,3,0.390,,0.771,13,0.228,0.0,24,57.0,63,0.90,0,0.58,4.00,0.130,38.0,0.269
2134,6,7,황재균,히어로즈,0.284,133,608,536,86,152,27,5,18.0,243,63,6,8,2009,2.0,0,1,9,1,0.275,,0.571,2,0.353,0.0,1,18.0,11,1.64,0,0.22,3.51,0.020,4.0,0.202
2135,7,8,권도영,히어로즈,0.283,38,63,53,3,15,3,0,0.0,18,5,2,0,2009,13.0,0,2,34,1,0.415,,0.736,8,0.219,0.0,15,30.0,44,0.68,0,0.38,3.80,0.162,19.3,0.248
2136,8,9,김민우,히어로즈,0.264,78,151,125,15,33,5,0,3.0,47,10,6,1,2009,2.0,0,0,15,1,0.400,,0.677,3,0.222,0.0,3,5.0,14,0.36,0,0.13,3.87,0.156,4.7,0.225
2137,9,10,김일경,히어로즈,0.257,107,309,265,44,68,14,1,2.0,90,20,13,1,2009,44.0,0,7,137,1,0.423,,0.755,17,0.267,0.429,32,76.0,61,1.25,0,0.32,4.13,0.182,57.2,0.255
2138,10,11,강병식,히어로즈,0.250,54,94,76,9,19,4,0,2.0,29,14,1,1,2009,2.0,0,0,14,1,0.289,,0.544,0,0.222,0.25,2,16.0,5,3.20,0,0.14,3.72,0.067,2.8,0.187
2139,11,12,강귀태,히어로즈,0.249,114,326,281,28,70,12,0,3.0,91,37,9,5,2009,1.0,0,0,4,0,0.222,,0.495,0,0.5,0.0,0,2.0,2,1.00,0,0.25,5.00,0.000,0.9,0.178
2140,12,13,허준,히어로즈,0.246,40,79,69,5,17,3,1,0.0,22,10,2,2,2009,0.0,0,0,2,0,0.400,,0.600,0,0.5,0.333,1,1.0,1,1.00,0,0.00,2.60,0.200,0.3,0.19
2141,13,14,브룸바,히어로즈,0.245,123,526,436,69,107,21,1,27.0,211,86,0,2,2009,26.0,3,2,55,5,0.344,,0.649,4,0.171,0.143,11,41.0,36,1.14,0,0.47,4.05,0.156,19.1,0.223
2142,14,15,전준호,히어로즈,0.242,21,37,33,2,8,1,0,0.0,9,4,0,0,2009,3.0,0,0,4,0,0.261,,0.530,1,0.25,0.0,2,12.0,3,4.00,0,0.75,4.19,0.087,2.6,0.186
2143,15,16,정수성,히어로즈,0.230,87,153,139,29,32,5,0,3.0,46,9,5,2,2009,0.0,0,0,0,0,-,,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2144,16,17,장민석,히어로즈,0.200,15,27,25,3,5,1,0,0.0,6,1,1,0,2009,0.0,0,0,0,0,-,,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2145,17,18,오재일,히어로즈,0.197,43,74,66,4,13,5,0,0.0,18,4,1,1,2009,0.0,0,0,4,0,0.000,,0.000,0,0.0,0.0,0,1.0,0,-,0,0.00,4.40,0.000,-0.5,0.0
2146,18,19,장영석,히어로즈,0.182,16,38,33,2,6,0,0,2.0,12,4,0,0,2009,0.0,0,0,0,0,-,,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2147,19,20,유선정,히어로즈,0.179,33,68,56,5,10,1,0,1.0,14,8,1,1,2009,0.0,0,0,0,0,-,,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2148,20,21,조재호,히어로즈,0.148,21,30,27,1,4,1,0,1.0,8,3,0,0,2009,3.0,0,0,3,1,0.000,,0.200,0,0.0,0.0,0,4.0,5,0.80,0,1.00,4.13,0.000,-0.5,0.09
2149,21,22,오윤,히어로즈,0.125,19,28,24,2,3,1,0,1.0,7,2,0,1,2009,0.0,0,0,0,0,0.000,,0.000,0,0.0,0.0,0,2.0,0,-,0,-,4.50,0.000,-0.2,0.0
2150,22,23,조중근,히어로즈,0.111,17,20,18,0,2,0,0,0.0,2,1,0,1,2009,0.0,0,0,0,0,-,,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2151,23,24,김지수,히어로즈,0.000,15,4,3,2,0,0,0,0.0,0,0,1,0,2009,0.0,0,0,2,1,0.000,,0.000,0,0.0,0.0,0,4.0,0,-,0,0.00,3.17,0.000,-0.9,0.0
2152,24,24,손승현,히어로즈,-,4,0,0,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2153,25,24,유재신,히어로즈,0.000,9,4,4,2,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2154,26,24,이보근,히어로즈,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,2.0,0,2,19,2,0.677,0.364,1.041,6,0.313,0.111,10,11.0,12,0.92,0,0.11,3.26,0.355,13.2,0.333
2155,27,24,전민수,히어로즈,0.000,4,6,6,0,0,0,0,0.0,0,0,0,0,2009,33.0,0,2,51,5,0.449,0.369,0.818,32,0.316,0.0,31,118.0,108,1.09,0,0.65,3.86,0.132,66.0,0.278
2156,28,24,조용훈,히어로즈,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,8.0,0,1,10,2,0.396,0.414,0.810,4,0.091,0.2,2,13.0,11,1.18,0,0.80,3.93,0.083,8.3,0.285
2157,29,24,황두성,히어로즈,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,63.0,8,5,89,7,0.494,0.398,0.892,36,0.333,0.0,41,104.0,110,0.95,0,0.71,3.96,0.188,84.5,0.303
2158,0,1,박용택,LG,0.372,111,506,452,91,168,31,5,18.0,263,74,3,9,2009,47.0,5,8,51,9,0.377,0.375,0.752,45,0.359,0.0,29,180.0,107,1.68,0,0.92,3.47,0.072,69.7,0.263
2159,1,2,박도현,LG,0.357,13,16,14,2,5,0,0,0.0,5,1,1,0,2009,7.0,0,1,18,2,0.435,0.360,0.795,8,0.227,0.25,10,32.0,14,2.29,0,0.39,3.77,0.130,12.5,0.271
2160,2,3,윤진호,LG,0.333,3,8,6,1,2,1,0,0.0,3,2,1,0,2009,49.0,0,20,72,7,0.533,0.396,0.929,34,0.308,0.0,52,86.0,130,0.66,0,0.68,3.75,0.233,85.7,0.311
2161,3,4,페타지니,LG,0.332,115,498,388,62,129,16,0,26.0,223,100,0,6,2009,52.0,2,2,42,10,0.464,0.404,0.868,15,0.293,0.361,27,85.0,66,1.29,0,1.24,4.44,0.176,49.6,0.298
2162,4,5,김정민,LG,0.320,26,74,50,8,16,2,0,0.0,18,4,10,1,2009,20.0,3,1,39,6,0.448,0.342,0.790,12,0.356,0.267,17,53.0,52,1.02,0,0.51,3.87,0.170,29.9,0.266
2163,5,6,정성훈,LG,0.301,121,494,419,62,126,19,2,10.0,179,70,8,4,2009,25.0,0,5,74,3,0.393,0.332,0.725,17,0.264,0.0,22,76.0,75,1.01,0,0.34,3.85,0.125,41.9,0.248
2164,6,7,이진영,LG,0.300,120,425,380,50,114,18,1,14.0,176,69,2,2,2009,46.0,2,27,88,11,0.425,0.379,0.804,23,0.279,0.0,34,95.0,101,0.94,0,0.52,3.93,0.163,63.7,0.277
2165,7,8,최동수,LG,0.296,108,386,338,43,100,16,1,13.0,157,65,3,7,2009,5.0,2,2,8,4,0.371,0.321,0.692,4,0.136,0.278,6,24.0,21,1.14,0,0.63,3.54,0.114,7.4,0.237
2166,8,9,이대형,LG,0.280,133,597,521,92,146,10,2,2.0,166,41,22,4,2009,38.0,1,7,63,2,0.377,0.342,0.719,19,0.301,0.0,26,99.0,82,1.21,0,0.60,4.19,0.121,45.9,0.248
2167,9,10,박종호,LG,0.267,62,190,161,16,43,5,1,1.0,53,11,5,1,2009,0.0,0,1,0,0,0.250,0.400,0.650,0,0.0,0.0,0,3.0,0,-,0,-,2.80,0.000,0.6,0.243
2168,10,11,김태군,LG,0.250,54,118,108,7,27,2,1,0.0,31,5,7,0,2009,27.0,0,7,56,1,0.316,0.332,0.648,11,0.203,0.0,11,88.0,47,1.87,0,0.48,4.02,0.072,32.5,0.228
2169,11,12,권용관,LG,0.247,128,431,381,45,94,15,3,7.0,136,34,13,2,2009,2.0,0,1,14,2,0.287,0.259,0.546,6,0.269,1.0,5,57.0,32,1.78,0,0.14,3.21,0.044,9.3,0.188
2170,12,13,박경수,LG,0.238,106,344,269,45,64,12,0,8.0,100,31,12,2,2009,20.0,1,0,32,1,0.320,0.308,0.628,9,0.229,0.0,11,53.0,50,1.06,0,0.63,3.75,0.087,19.0,0.219
2171,13,14,안치용,LG,0.237,90,256,224,29,53,5,1,5.0,75,30,3,1,2009,14.0,0,1,34,2,0.338,0.292,0.630,10,0.265,0.2,10,48.0,39,1.23,0,0.41,3.81,0.110,16.4,0.216
2172,14,15,손인호,LG,0.226,61,93,84,3,19,3,1,0.0,24,8,1,0,2009,23.0,0,1,34,6,0.382,0.306,0.688,8,0.239,0.286,15,57.0,59,0.97,0,0.68,3.93,0.162,22.3,0.233
2173,15,16,박병호,LG,0.218,68,213,188,28,41,7,0,9.0,75,25,0,1,2009,8.0,1,2,14,4,0.306,0.264,0.570,3,0.154,0.16,5,39.0,36,1.08,0,0.57,3.42,0.102,9.0,0.195
2174,16,17,조인성,LG,0.214,95,300,266,35,57,10,1,14.0,111,36,3,2,2009,5.0,0,0,15,4,0.267,0.246,0.513,1,0.056,0.071,3,13.0,21,0.62,0,0.33,3.63,0.083,2.6,0.177
2175,17,18,박용근,LG,0.213,101,150,127,33,27,5,2,1.0,39,9,2,2,2009,1.0,1,0,2,0,0.385,0.214,0.599,1,0.5,0.0,1,3.0,6,0.50,0,0.50,4.13,0.231,1.2,0.193
2176,18,19,김태완,LG,0.212,40,43,33,10,7,2,0,0.0,9,5,0,1,2009,8.0,0,1,19,1,0.118,0.186,0.304,1,0.0,0.0,2,32.0,19,1.68,0,0.42,3.77,0.026,1.9,0.113
2177,19,20,곽용섭,LG,0.200,6,16,15,0,3,1,0,0.0,4,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2178,20,20,이종열,LG,0.200,12,16,15,2,3,0,0,0.0,3,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2179,21,22,이병규,LG,0.176,16,21,17,0,3,2,0,0.0,5,4,0,0,2009,0.0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,0,1.0,0,-,0,-,6.00,0.000,-0.1,0.0
2180,22,23,오지환,LG,0.111,5,10,9,1,1,0,0,0.0,1,1,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2181,23,23,임도현,LG,0.111,15,11,9,1,1,0,0,0.0,1,0,1,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2182,24,25,정주현,LG,0.091,6,11,11,2,1,0,0,1.0,4,1,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2183,25,26,경헌호,LG,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2184,26,26,김광삼,LG,0.000,1,4,4,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2185,27,26,김민기,LG,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2186,28,26,류택현,LG,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0,0,0.0,0,-,0,0.00,3.00,0.000,-0.2,0.0
2187,29,26,서동욱,LG,0.000,5,6,6,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0,0,1.0,4,0.25,0,0.00,3.29,0.000,-0.6,0.0
2188,0,26,오상민,LG,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,0.0,0,0,0,0,0.500,0.500,1.000,0,0.0,0.0,0,0.0,1,0.00,0,-,2.50,0.000,0.1,0.35
2189,1,26,오태근,LG,0.000,8,1,1,1,0,0,0,0.0,0,0,0,0,2009,61.0,6,7,87,14,0.457,0.391,0.848,33,0.272,0.5,44,111.0,118,0.94,0,0.70,3.95,0.156,75.5,0.29
2190,2,26,우규민,LG,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2009,49.0,0,1,81,17,0.403,0.355,0.758,33,0.384,0.5,36,148.0,116,1.28,0,0.60,3.80,0.112,65.3,0.261
2191,3,26,이경환,LG,0.000,6,2,2,0,0,0,0,0.0,0,0,0,0,2009,41.0,4,8,85,5,0.472,0.367,0.839,25,0.248,0.182,33,95.0,92,1.03,0,0.48,3.55,0.181,66.7,0.283
2192,4,26,이동현,LG,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,34.0,2,11,51,5,0.438,0.391,0.829,18,0.216,0.185,19,74.0,57,1.30,0,0.67,4.11,0.151,44.6,0.285
2193,5,26,이재영,LG,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2009,41.0,0,1,74,6,0.372,0.343,0.715,34,0.314,0.0,27,156.0,86,1.81,0,0.55,3.76,0.090,59.6,0.247
2194,6,26,정찬헌,LG,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2009,36.0,0,3,37,7,0.338,0.350,0.688,21,0.267,0.429,17,106.0,97,1.09,0,0.97,3.73,0.064,40.3,0.242
2195,7,26,최동환,LG,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2009,43.0,2,1,72,9,0.427,0.343,0.770,24,0.268,0.0,30,115.0,74,1.55,0,0.60,3.94,0.161,51.9,0.261
2196,8,26,최성민,LG,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,61.0,0,9,85,11,0.376,0.356,0.732,27,0.236,1.0,32,141.0,109,1.29,0,0.72,4.10,0.119,66.0,0.254
2197,9,26,최원호,LG,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2009,17.0,0,1,30,4,0.296,0.333,0.629,5,0.3,0.0,6,41.0,33,1.24,0,0.57,3.68,0.044,14.9,0.224
2198,0,1,김강,한화,0.500,7,6,6,0,3,0,0,0.0,3,0,0,0,2009,8.0,0,4,42,2,0.390,0.293,0.683,8,0.239,0.143,18,53.0,52,1.02,0,0.19,3.54,0.138,24.2,0.229
2199,1,2,김태균,한화,0.330,95,389,336,63,111,15,0,19.0,183,62,0,2,2009,7.0,0,0,15,1,0.295,0.324,0.619,1,0.235,0.286,3,20.0,11,1.82,0,0.47,4.01,0.049,5.8,0.22
2200,2,3,이도형,한화,0.318,98,320,280,33,89,15,1,12.0,142,56,0,1,2009,1.0,0,0,8,0,0.238,0.273,0.511,0,0.2,0.0,0,6.0,2,3.00,0,0.13,4.38,0.000,1.6,0.182
2201,3,4,강동우,한화,0.302,128,585,506,88,153,30,2,10.0,217,48,4,5,2009,12.0,1,9,45,3,0.384,0.331,0.715,7,0.265,0.167,11,31.0,31,1.00,0,0.27,3.78,0.152,18.6,0.245
2202,4,5,김태완,한화,0.289,112,446,360,62,104,17,2,23.0,194,68,0,3,2009,17.0,0,2,31,13,0.297,0.278,0.575,12,0.25,0.25,12,95.0,84,1.13,0,0.55,3.85,0.067,19.4,0.199
2203,5,6,이범호,한화,0.284,126,499,436,64,124,21,0,25.0,220,79,0,3,2009,2.0,1,0,6,1,0.207,0.258,0.465,0,0.2,0.1,0,13.0,4,3.25,0,0.33,3.84,0.000,1.1,0.168
2204,6,7,이영우,한화,0.277,93,293,260,32,72,12,3,7.0,111,35,3,2,2009,18.0,1,11,41,6,0.256,0.310,0.566,7,0.179,0.6,6,56.0,48,1.17,0,0.44,3.74,0.056,16.1,0.204
2205,7,8,양승학,한화,0.267,44,99,90,12,24,5,0,4.0,41,12,0,0,2009,8.0,0,0,16,2,0.279,0.275,0.554,0,0.111,0.091,4,18.0,16,1.13,0,0.50,3.99,0.098,4.1,0.194
2206,8,9,디아즈,한화,0.266,62,229,207,37,55,15,0,15.0,115,39,0,3,2009,0.0,0,0,6,0,0.167,0.167,0.334,0,0.0,0.0,0,4.0,0,-,0,0.00,3.75,0.000,0.1,0.117
2207,9,10,오선진,한화,0.263,79,191,175,20,46,9,1,2.0,63,14,7,0,2009,4.0,0,1,15,2,0.184,0.241,0.425,2,0.0,0.25,1,13.0,13,1.00,0,0.27,3.63,0.020,1.2,0.154
2208,10,11,송광민,한화,0.261,116,440,417,50,109,15,1,14.0,168,43,5,1,2009,4.0,0,1,16,6,0.250,0.200,0.450,0,0.2,0.25,5,17.0,19,0.89,0,0.25,3.43,0.117,0.6,0.153
2209,11,12,신경현,한화,0.256,78,207,176,19,45,4,0,2.0,55,15,2,1,2009,2.0,0,1,9,0,0.121,0.194,0.315,0,0.231,0.222,0,11.0,9,1.22,0,0.22,3.69,0.000,0.3,0.118
2210,12,13,연경흠,한화,0.253,122,386,336,53,85,19,1,11.0,139,47,3,3,2009,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
2211,13,14,이여상,한화,0.251,79,222,199,21,50,5,1,6.0,75,28,2,2,2009,0.0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,0,0.0,0,-,0,0.00,3.00,0.000,-0.1,0.0
