,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,년도,경기타입
19,19,추승우,LG,0.200,0,0,0,2,1,0.200,0.200,0.400,1,0.000,0.000,2002,KBO 정규시즌
20,21,박연수,LG,0.198,7,1,3,35,1,0.395,0.280,0.675,3,0.294,0.115,2002,KBO 정규시즌
21,22,김현민,LG,0.167,0,0,0,7,1,0.389,0.167,0.556,0,0.333,0.231,2002,KBO 정규시즌
22,23,김재학,LG,0.154,0,0,1,3,1,0.154,0.214,0.368,0,0.250,0.125,2002,KBO 정규시즌
23,24,김용우,LG,0.143,0,0,1,3,0,0.143,0.250,0.393,0,0.000,0.167,2002,KBO 정규시즌
24,25,홍현우,LG,0.118,3,0,2,16,1,0.206,0.173,0.379,1,0.158,0.167,2002,KBO 정규시즌
25,26,경헌호,LG,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
26,26,만자니오,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
27,26,서승화,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
28,26,신윤호,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
29,26,안치용,LG,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
0,26,류택현,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
1,26,윤현식,LG,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
2,26,이광우,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
3,26,이동현,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
4,26,이상훈,LG,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
5,26,최창호,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
6,26,케펜,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
7,26,퀸란,LG,0.000,3,0,3,10,0,0.000,0.222,0.222,0,0.000,0.000,2002,KBO 정규시즌
0,1,장성호,KIA,0.343,86,14,9,53,15,0.522,0.445,0.967,48,0.365,0.000,2002,KBO 정규시즌
1,2,황성기,KIA,0.333,0,0,0,1,0,0.333,0.333,0.666,0,0.000,0.000,2002,KBO 정규시즌
2,3,정성훈,KIA,0.312,28,2,9,42,9,0.465,0.376,0.841,27,0.260,0.000,2002,KBO 정규시즌
3,4,신동주,KIA,0.311,24,2,3,59,8,0.443,0.377,0.820,25,0.277,0.308,2002,KBO 정규시즌
4,5,이종범,KIA,0.293,43,5,13,63,7,0.464,0.365,0.829,41,0.337,0.000,2002,KBO 정규시즌
5,6,김종국,KIA,0.287,61,0,3,116,5,0.393,0.363,0.756,41,0.298,1.000,2002,KBO 정규시즌
6,7,김경언,KIA,0.263,45,0,2,66,1,0.339,0.370,0.709,17,0.316,0.000,2002,KBO 정규시즌
7,8,김민철,KIA,0.261,4,0,1,10,0,0.283,0.333,0.616,1,0.357,0.250,2002,KBO 정규시즌
8,9,홍세완,KIA,0.257,30,2,6,68,10,0.399,0.315,0.714,25,0.265,0.000,2002,KBO 정규시즌
9,10,이현곤,KIA,0.257,8,0,1,25,4,0.416,0.311,0.727,5,0.259,0.667,2002,KBO 정규시즌
10,11,펨버튼,KIA,0.255,23,3,19,56,6,0.432,0.351,0.783,22,0.226,0.000,2002,KBO 정규시즌
11,12,오우진,KIA,0.250,0,0,1,6,1,0.250,0.294,0.544,0,0.167,0.444,2002,KBO 정규시즌
12,12,장일현,KIA,0.250,11,0,1,24,3,0.379,0.313,0.692,4,0.239,0.300,2002,KBO 정규시즌
13,14,김인철,KIA,0.235,0,0,1,16,0,0.373,0.250,0.623,2,0.250,0.250,2002,KBO 정규시즌
14,15,김지훈,KIA,0.229,1,0,1,14,4,0.438,0.260,0.698,2,0.333,0.500,2002,KBO 정규시즌
15,15,이동수,KIA,0.229,2,0,6,16,1,0.250,0.339,0.589,1,0.368,0.154,2002,KBO 정규시즌
16,17,김태룡,KIA,0.227,5,0,1,26,1,0.351,0.267,0.618,3,0.138,0.250,2002,KBO 정규시즌
17,18,장정석,KIA,0.225,8,2,1,17,1,0.304,0.286,0.590,3,0.100,0.063,2002,KBO 정규시즌
18,19,김상훈,KIA,0.221,18,0,5,67,11,0.314,0.266,0.580,16,0.202,0.000,2002,KBO 정규시즌
19,20,김창희,KIA,0.216,27,0,4,79,15,0.303,0.283,0.586,14,0.260,0.222,2002,KBO 정규시즌
20,21,조민철,KIA,0.214,1,0,1,5,0,0.214,0.313,0.527,0,0.500,0.250,2002,KBO 정규시즌
21,22,뉴선,KIA,0.209,17,1,0,38,3,0.435,0.308,0.743,4,0.132,0.000,2002,KBO 정규시즌
22,23,이재주,KIA,0.152,3,0,0,16,1,0.333,0.222,0.555,0,0.091,0.333,2002,KBO 정규시즌
23,24,김지영,KIA,0.136,1,0,0,5,1,0.136,0.174,0.310,0,0.143,0.000,2002,KBO 정규시즌
24,25,이대진,KIA,0.083,2,0,0,18,0,0.167,0.132,0.299,0,0.182,0.100,2002,KBO 정규시즌
25,26,박충식,KIA,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
26,26,방동민,KIA,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
27,26,심제훈,KIA,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
28,26,이강철,KIA,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
0,1,황윤성,현대,0.324,1,0,1,8,0,0.568,0.359,0.927,3,0.429,0.250,2002,KBO 정규시즌
1,2,심정수,현대,0.321,69,10,3,114,13,0.643,0.404,1.047,47,0.338,0.000,2002,KBO 정규시즌
2,3,전준호,현대,0.300,53,1,13,51,2,0.395,0.394,0.789,32,0.278,0.000,2002,KBO 정규시즌
3,4,전근표,현대,0.294,3,0,0,4,0,0.529,0.400,0.929,1,0.571,0.500,2002,KBO 정규시즌
4,5,이숭용,현대,0.284,40,2,12,54,11,0.472,0.361,0.833,31,0.287,0.000,2002,KBO 정규시즌
5,6,최익성,현대,0.280,11,1,4,15,0,0.333,0.391,0.724,2,0.154,0.158,2002,KBO 정규시즌
6,7,폴,현대,0.280,35,1,6,115,11,0.471,0.345,0.816,26,0.257,0.250,2002,KBO 정규시즌
7,8,박재홍,현대,0.278,41,2,4,94,10,0.438,0.343,0.781,38,0.309,0.667,2002,KBO 정규시즌
8,9,프랭클린,현대,0.276,34,3,10,52,2,0.625,0.434,1.059,11,0.211,0.000,2002,KBO 정규시즌
9,10,강귀태,현대,0.272,2,0,2,20,3,0.347,0.289,0.636,7,0.279,0.182,2002,KBO 정규시즌
10,11,박종호,현대,0.266,25,0,11,42,4,0.366,0.326,0.692,28,0.347,1.000,2002,KBO 정규시즌
11,12,채종국,현대,0.228,13,0,12,36,2,0.315,0.316,0.631,8,0.219,1.000,2002,KBO 정규시즌
12,13,박진만,현대,0.219,47,2,5,85,6,0.369,0.306,0.675,18,0.206,0.000,2002,KBO 정규시즌
13,14,조재호,현대,0.216,11,0,1,21,0,0.375,0.304,0.679,2,0.263,0.321,2002,KBO 정규시즌
14,15,김일경,현대,0.213,6,0,2,16,2,0.338,0.281,0.619,4,0.231,0.000,2002,KBO 정규시즌
15,16,강병식,현대,0.208,11,0,3,35,5,0.385,0.281,0.666,4,0.257,0.196,2002,KBO 정규시즌
16,17,박경완,현대,0.203,47,4,6,108,6,0.412,0.311,0.723,12,0.173,0.000,2002,KBO 정규시즌
