,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,년도,경기타입
20,20,김강률,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
21,20,김덕윤,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
22,20,김태영,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
23,20,김진수,두산,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
24,20,레이어,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
25,20,박민석,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
26,20,이경환,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
27,20,이용찬,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
28,20,이원재,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
29,20,이재우,두산,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
0,20,이혜천,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
1,20,임태훈,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
2,20,정재훈,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
3,20,진야곱,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
4,20,최재훈,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
0,1,김문호,롯데,0.375,0,0,0,2,0,0.625,0.375,1.000,1,0.000,0.000,2008,KBO 정규시즌
1,2,조성환,롯데,0.327,37,0,11,81,6,0.463,0.382,0.845,48,0.324,0.000,2008,KBO 정규시즌
2,3,김주찬,롯데,0.313,24,0,8,61,6,0.393,0.359,0.752,40,0.311,0.000,2008,KBO 정규시즌
3,4,손아섭,롯데,0.303,28,0,2,35,4,0.404,0.387,0.791,17,0.265,0.250,2008,KBO 정규시즌
4,5,이대호,롯데,0.301,62,4,18,56,9,0.478,0.400,0.878,34,0.306,0.000,2008,KBO 정규시즌
5,6,강민호,롯데,0.292,49,1,7,77,13,0.485,0.365,0.850,30,0.285,0.000,2008,KBO 정규시즌
6,7,정수근,롯데,0.291,51,0,0,40,5,0.343,0.392,0.735,23,0.310,0.000,2008,KBO 정규시즌
7,8,박기혁,롯데,0.291,40,0,2,47,6,0.342,0.364,0.706,26,0.242,0.000,2008,KBO 정규시즌
8,9,이인구,롯데,0.289,15,1,2,27,2,0.362,0.361,0.723,15,0.186,0.000,2008,KBO 정규시즌
9,10,가르시아,롯데,0.283,48,6,3,100,10,0.541,0.353,0.894,33,0.338,0.500,2008,KBO 정규시즌
10,11,정보명,롯데,0.277,21,0,10,57,9,0.379,0.346,0.725,17,0.227,0.294,2008,KBO 정규시즌
11,12,이원석,롯데,0.275,8,0,0,15,4,0.333,0.320,0.653,8,0.172,0.222,2008,KBO 정규시즌
12,13,최기문,롯데,0.225,2,0,1,4,3,0.275,0.279,0.554,2,0.154,0.375,2008,KBO 정규시즌
13,14,박현승,롯데,0.218,28,1,3,37,8,0.267,0.317,0.584,8,0.200,0.000,2008,KBO 정규시즌
14,15,이우민,롯데,0.214,10,0,3,31,6,0.283,0.277,0.560,4,0.200,0.143,2008,KBO 정규시즌
15,16,박종윤,롯데,0.206,0,0,1,11,0,0.412,0.229,0.641,2,0.250,0.000,2008,KBO 정규시즌
16,17,김민성,롯데,0.200,0,0,2,5,1,0.240,0.259,0.499,1,0.167,0.000,2008,KBO 정규시즌
17,18,마해영,롯데,0.153,14,0,0,13,4,0.236,0.287,0.523,0,0.158,0.111,2008,KBO 정규시즌
18,19,박준서,롯데,0.125,2,0,1,2,0,0.125,0.250,0.375,0,0.000,0.250,2008,KBO 정규시즌
19,20,전준우,롯데,0.100,5,0,0,9,1,0.200,0.229,0.429,0,0.222,0.167,2008,KBO 정규시즌
20,21,최만호,롯데,0.083,1,0,2,14,0,0.139,0.154,0.293,0,0.000,0.000,2008,KBO 정규시즌
21,22,강영식,롯데,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
22,22,김이슬,롯데,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
23,22,서정호,롯데,0.000,0,0,0,4,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
24,22,염종석,롯데,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
25,22,이동훈,롯데,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
26,22,임경완,롯데,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
27,22,코르테스,롯데,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
0,1,박한이,삼성,0.316,63,1,1,37,6,0.405,0.414,0.819,32,0.342,0.200,2008,KBO 정규시즌
1,2,김우석,삼성,0.300,2,0,0,2,0,0.500,0.417,0.917,0,0.250,0.000,2008,KBO 정규시즌
2,3,크루즈,삼성,0.282,20,1,3,25,9,0.372,0.370,0.742,14,0.419,0.000,2008,KBO 정규시즌
3,4,김창희,삼성,0.282,27,0,6,35,9,0.352,0.373,0.725,17,0.226,0.250,2008,KBO 정규시즌
4,5,진갑용,삼성,0.279,30,3,1,41,6,0.426,0.349,0.775,19,0.263,0.000,2008,KBO 정규시즌
5,6,박석민,삼성,0.279,61,1,12,84,15,0.450,0.385,0.835,29,0.301,0.000,2008,KBO 정규시즌
6,7,양준혁,삼성,0.278,46,4,7,37,10,0.392,0.364,0.756,24,0.309,0.250,2008,KBO 정규시즌
7,8,강봉규,삼성,0.276,19,0,3,28,3,0.403,0.376,0.779,7,0.250,0.294,2008,KBO 정규시즌
8,9,최형우,삼성,0.276,48,2,6,76,9,0.487,0.364,0.851,24,0.336,0.100,2008,KBO 정규시즌
9,10,김주현,삼성,0.269,0,0,2,3,1,0.385,0.321,0.706,2,0.500,0.000,2008,KBO 정규시즌
10,11,채태인,삼성,0.266,19,2,2,55,6,0.444,0.322,0.766,15,0.327,0.000,2008,KBO 정규시즌
11,12,현재윤,삼성,0.248,6,0,0,13,0,0.376,0.276,0.652,7,0.333,0.000,2008,KBO 정규시즌
12,13,박진만,삼성,0.244,44,0,3,50,9,0.343,0.335,0.678,20,0.247,0.000,2008,KBO 정규시즌
13,14,심정수,삼성,0.235,20,0,0,11,5,0.368,0.409,0.777,6,0.286,0.000,2008,KBO 정규시즌
14,15,박종호,삼성,0.232,9,0,0,12,2,0.256,0.304,0.560,5,0.179,0.200,2008,KBO 정규시즌
15,16,김재걸,삼성,0.230,20,1,6,29,11,0.299,0.322,0.621,8,0.174,0.500,2008,KBO 정규시즌
16,17,조동찬,삼성,0.225,19,0,5,32,4,0.278,0.322,0.600,5,0.138,0.400,2008,KBO 정규시즌
17,18,우동균,삼성,0.225,22,0,1,41,0,0.362,0.335,0.697,5,0.355,0.250,2008,KBO 정규시즌
18,19,심광호,삼성,0.197,4,0,3,24,2,0.282,0.266,0.548,3,0.261,0.273,2008,KBO 정규시즌
19,20,신명철,삼성,0.184,19,0,2,32,7,0.230,0.244,0.474,8,0.130,0.091,2008,KBO 정규시즌
20,21,손지환,삼성,0.179,3,0,2,7,1,0.308,0.226,0.534,3,0.167,0.000,2008,KBO 정규시즌
21,22,허승민,삼성,0.117,3,0,0,16,0,0.150,0.159,0.309,0,0.235,0.250,2008,KBO 정규시즌
22,23,김경모,삼성,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
23,23,모상기,삼성,0.000,0,0,0,4,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
24,23,백정현,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
25,23,손승현,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
26,23,손주인,삼성,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
27,23,오승환,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
28,23,이영욱,삼성,0.000,1,0,0,4,0,0.000,0.125,0.125,0,0.000,0.000,2008,KBO 정규시즌
29,23,차우찬,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
0,23,최원제,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
0,1,김동영,한화,0.500,0,0,0,1,0,0.500,0.500,1.000,0,1.000,0.000,2008,KBO 정규시즌
1,2,김태균,한화,0.324,64,4,5,67,8,0.622,0.417,1.039,39,0.378,0.000,2008,KBO 정규시즌
2,3,이영우,한화,0.288,26,0,1,40,9,0.402,0.347,0.749,19,0.269,0.158,2008,KBO 정규시즌
3,4,이범호,한화,0.276,61,0,9,50,18,0.470,0.374,0.844,32,0.315,0.000,2008,KBO 정규시즌
4,5,송광민,한화,0.271,10,0,3,44,5,0.471,0.333,0.804,7,0.310,0.222,2008,KBO 정규시즌
5,6,신경현,한화,0.267,26,0,2,54,8,0.372,0.328,0.700,18,0.289,0.000,2008,KBO 정규시즌
6,7,김태완,한화,0.266,50,4,11,78,9,0.488,0.362,0.850,26,0.269,0.154,2008,KBO 정규시즌
7,8,정범모,한화,0.250,1,0,0,1,0,0.250,0.400,0.650,0,0.000,0.000,2008,KBO 정규시즌
8,9,클락,한화,0.246,63,4,5,78,8,0.451,0.338,0.789,32,0.269,0.000,2008,KBO 정규시즌
9,10,연경흠,한화,0.245,11,0,1,21,3,0.443,0.317,0.760,5,0.167,0.667,2008,KBO 정규시즌
10,10,추승우,한화,0.245,30,4,10,75,3,0.296,0.318,0.614,22,0.229,0.273,2008,KBO 정규시즌
11,12,김민재,한화,0.241,30,1,2,37,6,0.319,0.303,0.622,19,0.301,0.000,2008,KBO 정규시즌
12,13,오재필,한화,0.228,2,0,1,23,0,0.263,0.267,0.530,1,0.333,0.500,2008,KBO 정규시즌
13,14,이도형,한화,0.224,3,0,0,16,3,0.328,0.254,0.582,2,0.321,0.225,2008,KBO 정규시즌
14,15,고동진,한화,0.218,6,0,0,13,4,0.276,0.269,0.545,5,0.261,0.000,2008,KBO 정규시즌
15,16,한상훈,한화,0.217,32,0,2,52,9,0.271,0.291,0.562,14,0.288,0.000,2008,KBO 정규시즌
16,17,이희근,한화,0.210,9,0,2,24,1,0.235,0.275,0.510,4,0.207,0.000,2008,KBO 정규시즌
17,18,윤재국,한화,0.210,23,0,0,31,2,0.273,0.319,0.592,6,0.225,0.000,2008,KBO 정규시즌
18,19,이여상,한화,0.208,13,0,2,47,2,0.289,0.271,0.560,8,0.238,0.000,2008,KBO 정규시즌
19,20,조원우,한화,0.200,0,0,0,1,1,0.200,0.200,0.400,0,0.000,0.000,2008,KBO 정규시즌
20,21,김수연,한화,0.167,2,0,0,5,0,0.167,0.250,0.417,0,0.000,0.000,2008,KBO 정규시즌
21,22,오선진,한화,0.133,1,0,0,7,0,0.167,0.161,0.328,0,0.000,0.143,2008,KBO 정규시즌
22,23,김혁민,한화,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
23,23,마정길,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
24,23,백승룡,한화,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
25,23,양훈,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
26,23,윤규진,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
27,23,정현석,한화,0.000,0,0,1,1,0,0.000,0.125,0.125,0,0.000,0.000,2008,KBO 정규시즌
28,23,최진행,한화,0.000,0,0,0,2,1,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
29,23,토마스,한화,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
0,23,한윤섭,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
0,1,이용규,KIA,0.312,47,1,3,37,4,0.398,0.385,0.783,41,0.314,0.000,2008,KBO 정규시즌
1,2,박진영,KIA,0.308,1,0,0,2,2,0.308,0.333,0.641,3,0.000,0.000,2008,KBO 정규시즌
2,3,김원섭,KIA,0.305,51,1,3,50,3,0.369,0.398,0.767,30,0.244,0.000,2008,KBO 정규시즌
3,4,장성호,KIA,0.304,53,6,3,25,11,0.440,0.412,0.852,27,0.269,0.250,2008,KBO 정규시즌
4,5,나지완,KIA,0.295,28,1,6,44,2,0.455,0.391,0.846,15,0.263,0.167,2008,KBO 정규시즌
5,6,최경환,KIA,0.291,12,0,1,13,3,0.409,0.355,0.764,8,0.214,0.200,2008,KBO 정규시즌
6,7,이종범,KIA,0.284,32,0,1,26,11,0.379,0.348,0.727,24,0.284,0.214,2008,KBO 정규시즌
7,8,이재주,KIA,0.276,45,2,3,49,8,0.471,0.382,0.853,13,0.290,0.222,2008,KBO 정규시즌
8,9,김상훈,KIA,0.267,5,0,1,13,1,0.372,0.312,0.684,5,0.240,0.250,2008,KBO 정규시즌
9,10,이현곤,KIA,0.257,30,1,3,51,12,0.331,0.312,0.643,25,0.294,0.000,2008,KBO 정규시즌
10,11,김선빈,KIA,0.255,30,0,2,40,8,0.277,0.330,0.607,17,0.267,0.250,2008,KBO 정규시즌
11,12,차일목,KIA,0.246,24,0,7,46,10,0.318,0.323,0.641,7,0.224,1.000,2008,KBO 정규시즌
12,13,김종국,KIA,0.233,33,0,2,57,5,0.317,0.313,0.630,17,0.247,1.000,2008,KBO 정규시즌
13,14,최희섭,KIA,0.229,15,2,3,41,4,0.346,0.295,0.641,9,0.233,0.167,2008,KBO 정규시즌
14,15,김주형,KIA,0.226,5,0,3,30,3,0.322,0.263,0.585,2,0.171,0.529,2008,KBO 정규시즌
15,16,발데스,KIA,0.218,9,0,1,19,2,0.308,0.263,0.571,6,0.206,0.000,2008,KBO 정규시즌
16,17,이호신,KIA,0.212,0,0,1,9,0,0.273,0.235,0.508,1,0.167,0.000,2008,KBO 정규시즌
17,18,김경언,KIA,0.200,0,0,0,5,0,0.200,0.200,0.400,1,0.000,0.000,2008,KBO 정규시즌
18,18,김주현,KIA,0.200,0,0,0,1,0,0.200,0.200,0.400,0,0.000,0.000,2008,KBO 정규시즌
19,18,유용목,KIA,0.200,0,0,0,2,0,0.200,0.200,0.400,0,0.000,0.000,2008,KBO 정규시즌
20,21,채종범,KIA,0.197,11,0,4,33,4,0.313,0.270,0.583,8,0.208,0.111,2008,KBO 정규시즌
21,22,이영수,KIA,0.156,6,0,0,4,2,0.156,0.289,0.445,1,0.143,0.500,2008,KBO 정규시즌
22,23,류은재,KIA,0.148,2,0,0,8,0,0.148,0.207,0.355,0,0.000,0.000,2008,KBO 정규시즌
23,24,안재만,KIA,0.143,0,0,0,2,0,0.143,0.143,0.286,0,0.000,0.000,2008,KBO 정규시즌
24,25,김형철,KIA,0.125,1,0,0,12,0,0.125,0.146,0.271,1,0.091,0.000,2008,KBO 정규시즌
25,26,강동우,KIA,0.100,8,0,1,6,0,0.125,0.260,0.385,0,0.231,0.154,2008,KBO 정규시즌
26,27,이성우,KIA,0.097,2,0,0,8,2,0.194,0.147,0.341,0,0.143,0.000,2008,KBO 정규시즌
27,28,최용규,KIA,0.094,3,0,0,13,0,0.094,0.171,0.265,0,0.000,0.000,2008,KBO 정규시즌
28,29,송산,KIA,0.053,2,0,0,3,0,0.105,0.143,0.248,0,0.000,0.000,2008,KBO 정규시즌
29,30,고우석,KIA,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
0,30,디아즈,KIA,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
1,30,심재학,KIA,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
2,30,진해수,KIA,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
3,30,한기주,KIA,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
0,1,이택근,우리,0.317,48,4,4,44,10,0.470,0.398,0.868,33,0.348,0.400,2008,KBO 정규시즌
1,2,전준호,우리,0.310,35,2,1,41,5,0.392,0.372,0.764,25,0.263,0.125,2008,KBO 정규시즌
2,3,브룸바,우리,0.293,56,6,2,79,12,0.450,0.388,0.838,25,0.333,0.000,2008,KBO 정규시즌
3,4,송지만,우리,0.280,28,1,5,82,11,0.418,0.330,0.748,34,0.320,0.625,2008,KBO 정규시즌
4,5,조중근,우리,0.279,1,0,0,15,2,0.412,0.290,0.702,3,0.304,0.333,2008,KBO 정규시즌
5,6,김남형,우리,0.273,1,0,0,6,0,0.318,0.304,0.622,0,0.250,0.250,2008,KBO 정규시즌
6,7,김일경,우리,0.271,14,0,1,34,5,0.361,0.331,0.692,7,0.237,0.000,2008,KBO 정규시즌
7,8,강정호,우리,0.271,31,1,5,65,12,0.392,0.334,0.726,24,0.276,0.333,2008,KBO 정규시즌
8,9,정성훈,우리,0.270,36,1,5,41,13,0.366,0.345,0.711,21,0.299,0.222,2008,KBO 정규시즌
9,10,이숭용,우리,0.270,39,2,2,38,8,0.327,0.349,0.676,25,0.230,0.375,2008,KBO 정규시즌
10,11,강병식,우리,0.269,14,1,3,18,2,0.437,0.355,0.792,5,0.194,0.304,2008,KBO 정규시즌
11,12,유재신,우리,0.258,1,0,1,19,2,0.301,0.274,0.575,4,0.318,0.500,2008,KBO 정규시즌
12,13,정수성,우리,0.252,7,0,0,32,2,0.354,0.287,0.641,6,0.290,0.200,2008,KBO 정규시즌
13,14,차화준,우리,0.250,0,0,1,3,0,0.375,0.333,0.708,0,0.000,0.000,2008,KBO 정규시즌
14,14,허준,우리,0.250,0,0,0,11,0,0.438,0.250,0.688,0,0.000,0.200,2008,KBO 정규시즌
15,16,강귀태,우리,0.249,13,1,1,28,7,0.333,0.282,0.615,12,0.190,0.333,2008,KBO 정규시즌
16,17,김동수,우리,0.239,15,0,1,15,4,0.327,0.305,0.632,7,0.310,0.000,2008,KBO 정규시즌
17,18,황재균,우리,0.239,16,0,2,56,8,0.288,0.279,0.567,19,0.191,0.167,2008,KBO 정규시즌
18,19,전근표,우리,0.224,10,1,0,11,1,0.286,0.356,0.642,1,0.235,0.250,2008,KBO 정규시즌
19,20,조재호,우리,0.223,6,0,1,9,2,0.277,0.275,0.552,6,0.222,0.000,2008,KBO 정규시즌
20,21,권도영,우리,0.221,10,0,1,31,3,0.301,0.277,0.578,7,0.240,0.125,2008,KBO 정규시즌
21,22,오윤,우리,0.200,4,0,0,5,2,0.300,0.294,0.594,2,0.222,0.133,2008,KBO 정규시즌
22,22,이성재,우리,0.200,1,0,0,3,2,0.300,0.273,0.573,0,0.000,1.000,2008,KBO 정규시즌
23,24,최현종,우리,0.125,4,0,0,9,0,0.156,0.222,0.378,0,0.000,0.000,2008,KBO 정규시즌
24,25,유선정,우리,0.077,0,0,0,2,0,0.077,0.077,0.154,0,0.250,0.000,2008,KBO 정규시즌
25,26,조평호,우리,0.067,1,0,1,4,1,0.067,0.176,0.243,0,0.250,0.500,2008,KBO 정규시즌
26,27,김민우,우리,0.056,2,0,0,6,0,0.111,0.150,0.261,0,0.143,0.000,2008,KBO 정규시즌
27,28,김성현,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
28,28,김수경,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
29,28,김세현,우리,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
0,28,노환수,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
1,28,다카쓰,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
2,28,민태호,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
3,28,박승민,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
4,28,배힘찬,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
5,28,송신영,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
6,28,스코비,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
7,28,이정호,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
8,28,이현승,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
9,28,장민석,우리,0.000,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
10,28,전민수,우리,0.000,2,0,0,2,0,0.000,0.125,0.125,0,0.000,0.000,2008,KBO 정규시즌
11,28,전준호,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
12,28,정종수,우리,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
13,28,조순권,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
14,28,조용훈,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
15,28,지석훈,우리,0.000,1,0,0,1,0,0.000,0.100,0.100,0,0.000,0.000,2008,KBO 정규시즌
16,28,황두성,우리,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
0,1,서성종,LG,1.000,0,0,0,0,0,1.000,1.000,2.000,0,0.000,1.000,2008,KBO 정규시즌
1,2,김광삼,LG,0.385,0,0,0,3,0,0.462,0.385,0.847,0,0.200,0.400,2008,KBO 정규시즌
2,3,페타지니,LG,0.347,40,1,2,26,5,0.532,0.452,0.984,20,0.309,0.333,2008,KBO 정규시즌
3,4,김태군,LG,0.333,0,0,0,1,0,0.333,0.333,0.666,0,1.000,0.000,2008,KBO 정규시즌
4,4,임도현,LG,0.333,1,0,0,2,0,0.500,0.429,0.929,0,0.000,1.000,2008,KBO 정규시즌
5,6,김정민,LG,0.303,14,0,3,21,2,0.361,0.370,0.731,9,0.275,0.222,2008,KBO 정규시즌
6,7,안치용,LG,0.295,39,1,0,79,6,0.441,0.354,0.795,34,0.301,0.000,2008,KBO 정규시즌
7,8,김준호,LG,0.267,0,0,0,10,0,0.400,0.267,0.667,3,0.333,0.250,2008,KBO 정규시즌
8,8,손인호,LG,0.267,10,0,2,23,0,0.319,0.320,0.639,10,0.289,0.233,2008,KBO 정규시즌
9,10,최동수,LG,0.265,31,1,9,62,16,0.415,0.331,0.746,23,0.273,1.000,2008,KBO 정규시즌
10,11,이대형,LG,0.264,39,1,2,80,3,0.281,0.317,0.598,35,0.298,0.000,2008,KBO 정규시즌
11,12,박경수,LG,0.259,37,0,7,65,13,0.360,0.330,0.690,19,0.253,1.000,2008,KBO 정규시즌
12,13,박용택,LG,0.257,34,0,1,55,5,0.323,0.325,0.648,20,0.191,0.400,2008,KBO 정규시즌
13,14,김상현,LG,0.243,19,0,3,55,8,0.416,0.311,0.727,12,0.190,0.200,2008,KBO 정규시즌
14,15,서동욱,LG,0.243,8,0,4,23,1,0.414,0.354,0.768,2,0.167,0.000,2008,KBO 정규시즌
15,16,김태완,LG,0.242,8,0,1,16,1,0.303,0.329,0.632,3,0.182,0.250,2008,KBO 정규시즌
16,17,이종열,LG,0.232,17,0,5,29,5,0.292,0.284,0.576,13,0.194,0.000,2008,KBO 정규시즌
17,18,이병규,LG,0.231,5,0,2,23,3,0.372,0.294,0.666,3,0.278,0.111,2008,KBO 정규시즌
18,19,권용관,LG,0.228,6,0,3,32,5,0.291,0.257,0.548,12,0.190,0.000,2008,KBO 정규시즌
19,20,조인성,LG,0.227,17,1,1,76,6,0.379,0.264,0.643,16,0.284,0.333,2008,KBO 정규시즌
20,21,박용근,LG,0.197,14,0,4,31,5,0.261,0.280,0.541,7,0.111,0.286,2008,KBO 정규시즌
21,22,채종국,LG,0.195,2,0,0,3,2,0.195,0.233,0.428,0,0.182,0.500,2008,KBO 정규시즌
22,23,정의윤,LG,0.192,8,1,3,13,3,0.205,0.292,0.497,2,0.278,0.250,2008,KBO 정규시즌
23,24,김용우,LG,0.154,3,0,1,7,0,0.308,0.258,0.566,0,0.100,0.176,2008,KBO 정규시즌
24,24,김용의,LG,0.154,4,0,2,5,0,0.154,0.313,0.467,1,0.273,0.000,2008,KBO 정규시즌
25,26,경헌호,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
26,26,김민기,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
27,26,김수형,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
28,26,김회권,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
29,26,서건창,LG,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,2008,KBO 정규시즌
0,26,오상민,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
1,26,오태근,LG,0.000,2,0,0,3,0,0.000,0.182,0.182,0,0.000,0.000,2008,KBO 정규시즌
2,26,우규민,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
3,26,이범준,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
4,26,이재영,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
5,26,정재복,LG,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2008,KBO 정규시즌
0,1,김경언,KIA,0.500,0,0,0,1,0,0.500,0.500,1.000,0,0.000,0.500,2009,KBO 정규시즌
1,2,김형철,KIA,0.333,0,0,0,1,0,0.333,0.333,0.666,0,0.000,1.000,2009,KBO 정규시즌
2,3,김상현,KIA,0.315,41,1,6,103,11,0.632,0.379,1.011,46,0.403,0.000,2009,KBO 정규시즌
3,4,최희섭,KIA,0.308,96,13,7,108,14,0.589,0.435,1.024,37,0.336,0.167,2009,KBO 정규시즌
4,5,김원섭,KIA,0.301,56,1,6,55,8,0.458,0.401,0.859,27,0.307,0.200,2009,KBO 정규시즌
5,6,김선빈,KIA,0.293,10,1,1,13,2,0.388,0.354,0.742,9,0.217,0.000,2009,KBO 정규시즌
6,7,장성호,KIA,0.284,40,0,1,42,8,0.424,0.378,0.802,17,0.343,0.571,2009,KBO 정규시즌
7,8,이종범,KIA,0.273,41,1,5,50,9,0.379,0.346,0.725,25,0.228,0.400,2009,KBO 정규시즌
8,9,이용규,KIA,0.266,22,1,4,21,1,0.349,0.364,0.713,9,0.333,1.000,2009,KBO 정규시즌
9,10,나지완,KIA,0.263,58,3,8,90,9,0.474,0.368,0.842,24,0.227,0.231,2009,KBO 정규시즌
10,11,홍세완,KIA,0.261,30,2,5,39,5,0.367,0.362,0.729,11,0.197,0.000,2009,KBO 정규시즌
11,12,최용규,KIA,0.259,3,0,0,16,0,0.315,0.298,0.613,2,0.200,0.000,2009,KBO 정규시즌
12,13,이현곤,KIA,0.253,34,0,10,63,16,0.311,0.329,0.640,24,0.250,0.333,2009,KBO 정규시즌
13,14,김종국,KIA,0.250,10,0,0,12,1,0.315,0.308,0.623,5,0.154,0.000,2009,KBO 정규시즌
