,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,E,년도,경기타입
9,10,임수혁,롯데,0.25,29,48,40,10,1,0,0,7,0,0,8,0,7,0,0,1994,KBO 정규시즌
10,11,김민재,롯데,0.246,99,283,248,61,9,3,3,30,7,4,20,5,35,7,11,1994,KBO 정규시즌
11,12,조규철,롯데,0.235,32,37,34,8,1,0,0,5,4,1,1,1,12,0,4,1994,KBO 정규시즌
12,13,김종헌,롯데,0.228,90,343,281,64,8,3,2,26,15,17,45,5,44,2,2,1994,KBO 정규시즌
13,14,손동일,롯데,0.226,48,183,168,38,7,1,4,12,4,1,12,0,34,4,0,1994,KBO 정규시즌
14,15,김상재,롯데,0.222,5,9,9,2,0,0,1,2,1,0,0,0,1,3,1,1994,KBO 정규시즌
15,16,박지환,롯데,0.213,78,179,160,34,10,0,1,8,1,3,14,2,42,4,3,1994,KBO 정규시즌
16,17,조성옥,롯데,0.211,83,181,161,34,3,2,0,18,1,0,12,3,26,0,0,1994,KBO 정규시즌
17,18,이지환,롯데,0.211,10,19,19,4,0,0,0,1,0,0,0,0,5,0,0,1994,KBO 정규시즌
18,19,김미호,롯데,0.209,31,71,67,14,2,0,0,4,3,1,2,1,13,0,3,1994,KBO 정규시즌
19,20,김종훈,롯데,0.2,34,97,85,17,5,1,1,9,5,1,7,1,17,1,6,1994,KBO 정규시즌
20,21,김선일,롯데,0.198,88,238,222,44,6,0,1,13,6,1,7,0,27,4,5,1994,KBO 정규시즌
21,22,이동채,롯데,0.188,10,17,16,3,0,0,0,0,0,1,1,0,4,0,2,1994,KBO 정규시즌
22,23,이태환,롯데,0.133,13,17,15,2,0,0,1,1,0,0,1,0,7,1,0,1994,KBO 정규시즌
23,24,유동효,롯데,0.132,35,43,38,5,1,0,0,2,1,0,5,0,12,0,2,1994,KBO 정규시즌
24,25,홍순기,롯데,0.111,19,45,36,4,1,0,0,3,0,2,6,2,11,3,0,1994,KBO 정규시즌
25,26,권재광,롯데,0.1,18,32,30,3,1,0,0,1,0,0,1,0,7,1,0,1994,KBO 정규시즌
26,27,김상우,롯데,0.0,5,3,2,0,0,0,0,0,0,0,1,0,1,0,0,1994,KBO 정규시즌
27,27,전봉석,롯데,0.0,4,7,7,0,0,0,0,0,0,0,0,0,5,0,0,1994,KBO 정규시즌
28,27,정호진,롯데,0.0,6,7,5,0,0,0,0,1,0,0,2,0,1,0,0,1994,KBO 정규시즌
0,1,김광현,OB,0.328,28,74,64,21,6,1,0,8,1,0,8,0,12,1,1,1994,KBO 정규시즌
1,2,장원진,OB,0.297,99,297,259,77,19,2,4,25,5,6,20,5,48,4,1,1994,KBO 정규시즌
2,3,곽연수,OB,0.292,14,26,24,7,2,0,0,2,0,0,1,0,5,0,0,1994,KBO 정규시즌
3,4,박현영,OB,0.289,35,83,76,22,2,0,3,10,0,0,4,1,13,0,4,1994,KBO 정규시즌
4,5,김종석,OB,0.282,104,411,369,104,24,2,5,64,6,3,30,4,33,11,2,1994,KBO 정규시즌
5,6,김민호,OB,0.275,126,491,426,117,13,0,8,34,17,7,33,10,64,6,25,1994,KBO 정규시즌
6,7,이도형,OB,0.268,60,123,112,30,3,1,4,18,1,0,7,2,28,2,0,1994,KBO 정규시즌
7,8,김형석,OB,0.262,114,444,393,103,13,0,6,51,3,1,40,4,56,13,5,1994,KBO 정규시즌
8,9,송명철,OB,0.25,7,9,8,2,1,0,0,1,0,0,0,0,1,0,0,1994,KBO 정규시즌
9,9,이전진,OB,0.25,21,35,32,8,1,0,0,3,1,0,2,1,14,0,1,1994,KBO 정규시즌
10,11,김상호,OB,0.249,113,471,410,102,11,5,9,49,6,7,47,7,73,3,7,1994,KBO 정규시즌
11,12,이종민,OB,0.239,94,222,197,47,3,1,2,16,5,6,12,1,22,2,9,1994,KBO 정규시즌
12,13,안경현,OB,0.238,77,180,151,36,5,0,6,20,0,3,19,5,24,1,6,1994,KBO 정규시즌
13,14,추성건,OB,0.236,71,161,140,33,7,2,5,16,9,1,16,1,41,0,1,1994,KBO 정규시즌
14,15,김태형,OB,0.231,82,224,199,46,9,0,1,18,1,2,11,1,24,3,7,1994,KBO 정규시즌
15,16,임형석,OB,0.229,109,386,349,80,10,3,6,37,7,5,28,1,70,8,10,1994,KBO 정규시즌
16,17,이명수,OB,0.229,73,271,240,55,9,1,2,28,2,4,27,1,28,8,8,1994,KBO 정규시즌
17,18,김종성,OB,0.228,95,151,136,31,6,0,6,21,4,3,9,4,29,1,3,1994,KBO 정규시즌
18,19,조연제,OB,0.222,10,12,9,2,0,0,0,1,0,0,3,0,3,0,1,1994,KBO 정규시즌
