,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,E,년도,경기타입
0,1,심재학,두산,0.344,117,469,369,127,20,1,24,88,7,1,86,7,50,6,6,2001,KBO 정규시즌
1,2,김태형,두산,0.333,6,3,3,1,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 정규시즌
2,3,김동주,두산,0.324,103,421,364,118,18,0,18,62,2,2,47,4,57,10,3,2001,KBO 정규시즌
3,4,정수근,두산,0.306,122,546,467,143,21,9,2,53,52,11,71,1,51,8,6,2001,KBO 정규시즌
4,5,강규철,두산,0.300,8,10,10,3,0,0,1,3,0,0,0,0,2,0,1,2001,KBO 정규시즌
5,6,우즈,두산,0.291,118,525,436,127,16,2,34,113,12,3,83,1,114,11,3,2001,KBO 정규시즌
6,7,장원진,두산,0.285,129,559,513,146,17,3,5,53,11,4,38,3,43,13,2,2001,KBO 정규시즌
7,8,안경현,두산,0.282,131,539,457,129,31,1,17,87,4,1,54,13,51,17,18,2001,KBO 정규시즌
8,9,홍성흔,두산,0.267,122,452,408,109,18,1,8,48,9,4,26,6,53,13,9,2001,KBO 정규시즌
9,10,전상렬,두산,0.267,97,220,191,51,9,3,0,21,9,3,21,2,30,3,3,2001,KBO 정규시즌
10,11,홍원기,두산,0.264,84,284,242,64,13,1,6,42,1,0,29,5,39,4,14,2001,KBO 정규시즌
11,12,이도형,두산,0.256,40,93,86,22,7,1,2,13,0,0,5,2,16,4,0,2001,KBO 정규시즌
12,13,이종민,두산,0.244,92,147,131,32,2,0,0,13,0,1,10,1,19,3,5,2001,KBO 정규시즌
13,14,최훈재,두산,0.244,90,196,168,41,12,0,0,18,4,0,23,2,15,6,0,2001,KBO 정규시즌
14,15,강봉규,두산,0.236,64,97,89,21,7,1,2,11,2,0,6,1,28,1,1,2001,KBO 정규시즌
15,16,송원국,두산,0.235,36,86,81,19,2,0,3,15,2,0,3,0,14,4,2,2001,KBO 정규시즌
16,17,문희성,두산,0.227,29,49,44,10,2,0,2,6,0,1,4,0,12,0,1,2001,KBO 정규시즌
17,18,김민호,두산,0.216,109,357,306,66,17,2,4,29,14,3,29,9,44,7,13,2001,KBO 정규시즌
18,19,김호,두산,0.207,26,65,58,12,2,1,0,4,0,0,6,0,11,1,4,2001,KBO 정규시즌
19,20,니일,두산,0.193,17,68,57,11,4,0,1,3,0,0,10,1,15,2,0,2001,KBO 정규시즌
20,21,김원섭,두산,0.171,38,42,35,6,1,0,0,2,3,0,5,0,7,2,0,2001,KBO 정규시즌
21,22,오세학,두산,0.167,8,6,6,1,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
22,22,유필선,두산,0.167,8,7,6,1,0,0,0,0,0,0,1,0,3,0,1,2001,KBO 정규시즌
23,22,전형도,두산,0.167,15,14,12,2,0,0,0,1,0,0,1,0,6,0,0,2001,KBO 정규시즌
24,22,정원석,두산,0.167,13,21,18,3,1,0,1,2,0,0,1,2,7,1,1,2001,KBO 정규시즌
25,26,이대현,두산,0.056,21,19,18,1,1,0,0,1,0,0,1,0,5,0,2,2001,KBO 정규시즌
26,27,김성균,두산,0.000,11,8,8,0,0,0,0,0,0,0,0,0,4,0,1,2001,KBO 정규시즌
27,27,박명환,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
28,27,이상훈,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
29,27,정진용,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
0,1,정수근,두산,0.500,2,10,8,4,1,0,0,1,0,0,0,0,0,0,0,2001,KBO 준플레이오프
1,1,최훈재,두산,0.500,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 준플레이오프
2,1,홍성흔,두산,0.500,2,9,8,4,1,0,0,1,0,0,0,1,1,0,0,2001,KBO 준플레이오프
3,1,홍원기,두산,0.500,2,8,8,4,0,0,1,3,0,0,0,0,1,0,2,2001,KBO 준플레이오프
4,5,심재학,두산,0.444,2,9,9,4,0,0,0,2,0,0,0,0,1,0,0,2001,KBO 준플레이오프
5,6,안경현,두산,0.300,2,10,10,3,0,0,1,4,0,0,0,0,1,0,0,2001,KBO 준플레이오프
6,6,장원진,두산,0.300,2,10,10,3,0,0,0,1,0,0,0,0,1,0,0,2001,KBO 준플레이오프
7,8,우즈,두산,0.286,2,10,7,2,0,0,1,4,1,0,2,0,2,0,2,2001,KBO 준플레이오프
8,9,이도형,두산,0.143,2,7,7,1,0,0,0,0,0,0,0,0,1,1,0,2001,KBO 준플레이오프
9,10,김동주,두산,0.111,2,10,9,1,0,0,0,0,0,0,1,0,2,0,0,2001,KBO 준플레이오프
10,11,송원국,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,KBO 준플레이오프
11,11,전상렬,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 준플레이오프
12,11,정원석,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 준플레이오프
0,1,안경현,두산,0.563,4,16,16,9,0,0,1,3,0,1,0,0,1,0,0,2001,KBO 플레이오프
1,1,홍성흔,두산,0.563,4,16,16,9,1,0,1,5,0,0,0,0,1,0,0,2001,KBO 플레이오프
2,3,홍원기,두산,0.417,4,14,12,5,0,0,3,4,0,0,2,0,1,0,2,2001,KBO 플레이오프
3,4,송원국,두산,0.333,2,3,3,1,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 플레이오프
4,5,이도형,두산,0.286,3,8,7,2,0,0,1,3,0,0,0,1,1,1,0,2001,KBO 플레이오프
5,6,장원진,두산,0.250,4,18,16,4,1,0,0,2,1,0,2,0,0,0,1,2001,KBO 플레이오프
6,7,정수근,두산,0.176,4,19,17,3,1,0,0,0,1,1,1,0,3,0,0,2001,KBO 플레이오프
7,8,심재학,두산,0.143,4,16,14,2,1,0,0,0,0,0,1,1,6,0,0,2001,KBO 플레이오프
8,9,우즈,두산,0.133,4,17,15,2,0,0,1,1,1,0,2,0,7,0,1,2001,KBO 플레이오프
9,10,김동주,두산,0.083,4,16,12,1,0,0,0,1,0,0,2,0,1,0,0,2001,KBO 플레이오프
10,11,김호,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 플레이오프
11,11,전상렬,두산,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,KBO 플레이오프
12,11,최훈재,두산,0.000,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 플레이오프
0,1,김호,두산,0.500,4,13,10,5,2,0,0,2,0,0,1,0,2,0,0,2001,KBO 한국시리즈
1,2,최훈재,두산,0.444,3,9,9,4,2,0,0,1,0,0,0,0,1,0,0,2001,KBO 한국시리즈
2,3,정수근,두산,0.407,6,30,27,11,1,1,0,6,0,0,2,1,0,0,1,2001,KBO 한국시리즈
3,4,전상렬,두산,0.400,5,11,10,4,1,0,0,2,0,0,0,1,1,0,1,2001,KBO 한국시리즈
4,5,우즈,두산,0.391,6,29,23,9,1,0,4,8,1,0,5,0,5,1,1,2001,KBO 한국시리즈
5,6,김동주,두산,0.385,6,29,26,10,2,0,1,8,1,0,2,1,2,2,2,2001,KBO 한국시리즈
6,7,장원진,두산,0.370,6,29,27,10,0,0,1,5,0,0,2,0,2,1,1,2001,KBO 한국시리즈
7,8,안경현,두산,0.360,6,28,25,9,3,0,1,3,0,0,2,0,4,0,1,2001,KBO 한국시리즈
8,9,심재학,두산,0.238,6,28,21,5,0,0,0,4,0,0,6,0,5,1,0,2001,KBO 한국시리즈
9,10,홍성흔,두산,0.227,6,27,22,5,1,0,0,7,0,0,3,2,5,0,0,2001,KBO 한국시리즈
10,11,강봉규,두산,0.000,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 한국시리즈
11,11,송원국,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 한국시리즈
12,11,이대현,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 한국시리즈
13,11,이도형,두산,0.000,2,4,3,0,0,0,0,1,0,0,0,0,1,0,0,2001,KBO 한국시리즈
14,11,정원석,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 한국시리즈
15,11,홍원기,두산,0.000,4,12,9,0,0,0,0,0,0,0,2,1,6,0,0,2001,KBO 한국시리즈
0,1,마해영,삼성,0.328,133,547,470,154,18,0,30,95,1,1,68,5,82,13,2,2001,KBO 정규시즌
1,2,김한수,삼성,0.311,117,478,427,133,29,2,13,61,3,2,28,13,57,11,10,2001,KBO 정규시즌
2,3,진갑용,삼성,0.306,89,349,314,96,25,2,7,57,2,3,23,7,37,4,4,2001,KBO 정규시즌
3,4,김종훈,삼성,0.290,93,283,245,71,7,1,5,21,2,3,26,3,46,3,0,2001,KBO 정규시즌
4,5,박한이,삼성,0.279,130,501,420,117,25,3,13,61,17,9,60,12,60,14,2,2001,KBO 정규시즌
5,6,마르티네스,삼성,0.278,128,550,482,134,27,2,25,96,28,11,50,7,79,12,5,2001,KBO 정규시즌
6,7,이승엽,삼성,0.276,127,574,463,128,31,2,39,95,4,2,96,12,130,6,4,2001,KBO 정규시즌
7,8,김동수,삼성,0.276,89,217,181,50,11,0,5,30,0,0,22,4,23,5,4,2001,KBO 정규시즌
8,9,바에르가,삼성,0.275,39,131,120,33,3,2,4,17,0,0,6,4,12,5,7,2001,KBO 정규시즌
9,10,김승권,삼성,0.272,78,148,136,37,8,0,6,22,0,0,3,2,31,7,3,2001,KBO 정규시즌
10,11,박정환,삼성,0.263,84,249,217,57,8,3,5,36,0,2,20,2,48,10,9,2001,KBO 정규시즌
11,12,김재걸,삼성,0.261,70,153,138,36,5,1,1,9,6,4,10,1,38,1,11,2001,KBO 정규시즌
12,13,강동우,삼성,0.251,125,403,347,87,15,2,6,42,6,1,49,3,44,9,2,2001,KBO 정규시즌
13,14,김수관,삼성,0.250,41,37,32,8,2,0,0,1,1,0,3,0,4,1,0,2001,KBO 정규시즌
14,15,정경배,삼성,0.247,105,333,279,69,19,0,3,30,2,4,23,14,55,4,7,2001,KBO 정규시즌
15,16,장영균,삼성,0.226,35,34,31,7,3,0,0,3,0,0,1,1,12,1,0,2001,KBO 정규시즌
16,17,김태균,삼성,0.203,61,136,118,24,5,0,0,8,0,1,11,2,30,3,2,2001,KBO 정규시즌
17,18,장성국,삼성,0.188,19,19,16,3,1,0,0,2,0,0,2,0,3,1,0,2001,KBO 정규시즌
18,19,김기태,삼성,0.176,44,102,85,15,2,1,0,9,0,0,16,1,17,1,0,2001,KBO 정규시즌
19,20,김인철,삼성,0.091,11,12,11,1,0,0,0,0,1,1,1,0,2,0,0,2001,KBO 정규시즌
20,21,구민호,삼성,0.000,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 정규시즌
21,21,김상진,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
22,21,김승관,삼성,0.000,7,6,6,0,0,0,0,0,0,0,0,0,2,0,0,2001,KBO 정규시즌
23,21,김현욱,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
24,21,남기헌,삼성,0.000,6,5,4,0,0,0,0,0,0,0,0,1,0,0,0,2001,KBO 정규시즌
25,21,노장진,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
26,21,라형진,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
27,21,리베라,삼성,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
28,21,박동희,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
29,21,이성수,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
0,1,김승권,삼성,0.500,4,6,6,3,0,0,0,1,0,0,0,0,0,0,0,2001,KBO 한국시리즈
1,1,박정환,삼성,0.500,3,5,4,2,1,0,0,1,0,1,1,0,1,0,0,2001,KBO 한국시리즈
2,3,마르티네스,삼성,0.400,6,27,25,10,2,0,0,5,0,0,1,1,3,0,0,2001,KBO 한국시리즈
3,4,정경배,삼성,0.389,5,23,18,7,1,0,0,4,1,0,3,1,1,0,0,2001,KBO 한국시리즈
4,5,김종훈,삼성,0.385,6,28,26,10,1,0,0,8,0,0,1,0,2,3,0,2001,KBO 한국시리즈
5,6,이승엽,삼성,0.375,6,29,24,9,2,0,3,7,1,0,5,0,9,1,0,2001,KBO 한국시리즈
6,7,마해영,삼성,0.348,6,28,23,8,1,0,1,4,1,0,5,0,5,1,0,2001,KBO 한국시리즈
7,8,김한수,삼성,0.333,6,27,24,8,3,0,0,6,1,0,3,0,4,1,2,2001,KBO 한국시리즈
8,9,박한이,삼성,0.304,6,30,23,7,0,0,0,2,2,0,4,1,5,0,1,2001,KBO 한국시리즈
9,10,김태균,삼성,0.278,6,20,18,5,0,0,0,3,0,0,2,0,6,0,1,2001,KBO 한국시리즈
10,11,김동수,삼성,0.222,5,10,9,2,0,0,1,3,0,0,0,1,3,0,1,2001,KBO 한국시리즈
11,12,강동우,삼성,0.200,4,5,5,1,1,0,0,0,0,0,0,0,1,0,0,2001,KBO 한국시리즈
12,13,진갑용,삼성,0.111,6,12,9,1,1,0,0,1,0,0,3,0,2,2,0,2001,KBO 한국시리즈
13,14,김재걸,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 한국시리즈
14,14,바에르가,삼성,0.000,2,5,3,0,0,0,0,0,0,0,0,1,2,0,0,2001,KBO 한국시리즈
0,1,전준호,현대,0.325,125,490,400,130,18,6,4,35,27,15,65,8,51,5,3,2001,KBO 정규시즌
1,2,장정석,현대,0.303,46,38,33,10,4,0,0,3,0,0,2,0,9,0,0,2001,KBO 정규시즌
2,3,박진만,현대,0.300,122,449,383,115,13,0,22,63,9,6,47,4,65,13,25,2001,KBO 정규시즌
3,4,이숭용,현대,0.300,124,496,430,129,29,1,10,64,4,0,47,9,47,5,6,2001,KBO 정규시즌
4,5,심정수,현대,0.294,107,453,381,112,19,1,18,70,8,2,60,11,75,11,5,2001,KBO 정규시즌
5,6,박재홍,현대,0.284,127,570,489,139,20,3,18,80,7,7,74,2,86,12,5,2001,KBO 정규시즌
6,7,조승현,현대,0.278,12,19,18,5,0,0,1,1,0,0,1,0,4,0,0,2001,KBO 정규시즌
7,8,정수성,현대,0.267,33,16,15,4,0,0,1,1,7,1,1,0,3,0,0,2001,KBO 정규시즌
8,9,필립스,현대,0.261,66,260,230,60,10,0,15,46,1,0,25,5,62,10,12,2001,KBO 정규시즌
9,10,전근표,현대,0.261,71,165,142,37,6,0,6,19,0,0,20,0,39,1,1,2001,KBO 정규시즌
10,11,박경완,현대,0.257,130,528,421,108,13,1,24,81,21,8,91,7,121,9,9,2001,KBO 정규시즌
11,12,이명수,현대,0.248,91,190,153,38,6,0,1,19,1,2,29,0,20,8,1,2001,KBO 정규시즌
12,13,퀸란,현대,0.242,123,474,414,100,13,1,28,66,0,4,49,10,160,4,13,2001,KBO 정규시즌
13,14,박종호,현대,0.241,123,542,456,110,12,3,9,65,5,1,46,16,53,14,15,2001,KBO 정규시즌
14,15,이용주,현대,0.231,25,28,26,6,1,0,0,1,0,0,2,0,4,0,2,2001,KBO 정규시즌
15,16,이재주,현대,0.228,45,86,79,18,2,2,4,16,0,0,6,0,29,1,0,2001,KBO 정규시즌
16,17,채종국,현대,0.214,59,49,42,9,0,0,1,5,1,0,4,1,12,1,3,2001,KBO 정규시즌
17,18,정현택,현대,0.209,30,47,43,9,1,0,1,4,0,0,4,0,10,3,0,2001,KBO 정규시즌
18,19,김인호,현대,0.204,92,190,162,33,0,1,5,19,5,5,22,1,34,5,1,2001,KBO 정규시즌
19,20,장교성,현대,0.188,42,65,64,12,0,0,0,3,1,3,1,0,14,4,4,2001,KBO 정규시즌
20,21,장광호,현대,0.154,27,15,13,2,0,0,0,0,0,0,2,0,1,1,0,2001,KBO 정규시즌
21,22,김일경,현대,0.133,11,15,15,2,0,0,0,0,1,0,0,0,3,2,0,2001,KBO 정규시즌
22,23,황윤성,현대,0.132,22,43,38,5,0,1,1,6,1,0,1,2,9,0,1,2001,KBO 정규시즌
23,24,강필선,현대,0.000,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 정규시즌
24,24,노승욱,현대,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
25,24,박장희,현대,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
26,24,신철인,현대,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
27,24,이상열,현대,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
0,1,박종호,현대,0.385,4,18,13,5,0,0,0,0,1,0,3,0,0,1,0,2001,KBO 플레이오프
1,2,전준호,현대,0.357,4,18,14,5,1,0,0,0,2,0,2,0,1,0,0,2001,KBO 플레이오프
2,3,심정수,현대,0.313,4,17,16,5,0,0,0,0,0,1,1,0,3,0,0,2001,KBO 플레이오프
3,4,박재홍,현대,0.25,4,18,12,3,0,0,0,3,0,0,5,0,5,1,0,2001,KBO 플레이오프
4,5,이명수,현대,0.231,4,14,13,3,1,0,0,2,0,0,1,0,1,0,1,2001,KBO 플레이오프
5,6,박경완,현대,0.214,4,16,14,3,2,0,0,4,0,0,1,0,6,0,0,2001,KBO 플레이오프
6,7,이숭용,현대,0.2,4,16,15,3,1,0,0,2,0,0,1,0,2,0,0,2001,KBO 플레이오프
7,8,박진만,현대,0.083,4,14,12,1,0,0,0,0,0,0,2,0,5,1,1,2001,KBO 플레이오프
8,9,퀸란,현대,0.071,4,15,14,1,1,0,0,1,0,0,1,0,6,1,0,2001,KBO 플레이오프
9,10,김인호,현대,0.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 플레이오프
10,10,전근표,현대,0.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 플레이오프
0,1,송진우,한화,1.000,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2001,KBO 정규시즌
1,2,김태균,한화,0.335,88,289,245,82,13,2,20,54,2,0,40,4,72,4,3,2001,KBO 정규시즌
2,3,데이비스,한화,0.335,130,564,496,166,21,0,30,96,15,9,60,2,74,15,6,2001,KBO 정규시즌
3,4,김진삼,한화,0.333,8,9,9,3,0,0,0,0,1,0,0,0,0,0,0,2001,KBO 정규시즌
4,5,신경현,한화,0.325,23,45,40,13,5,0,0,6,0,0,5,0,12,0,3,2001,KBO 정규시즌
5,6,김종석,한화,0.315,116,445,390,123,22,2,16,65,4,1,49,1,78,9,0,2001,KBO 정규시즌
6,7,김수연,한화,0.291,129,446,392,114,10,3,0,20,42,16,47,2,67,3,7,2001,KBO 정규시즌
7,8,이영우,한화,0.286,126,448,381,109,25,3,15,65,10,3,62,0,70,8,1,2001,KBO 정규시즌
8,9,송지만,한화,0.285,108,391,344,98,19,0,22,69,5,6,36,4,69,9,1,2001,KBO 정규시즌
9,10,백재호,한화,0.276,88,255,217,60,7,0,6,25,2,0,35,1,43,7,15,2001,KBO 정규시즌
10,11,조경택,한화,0.275,89,163,138,38,9,0,3,9,2,2,14,3,30,1,3,2001,KBO 정규시즌
11,12,장종훈,한화,0.273,120,421,366,100,16,0,15,54,11,4,45,4,87,7,3,2001,KBO 정규시즌
12,13,강석천,한화,0.260,120,450,407,106,18,1,2,45,19,9,29,4,68,9,19,2001,KBO 정규시즌
13,14,임주택,한화,0.253,59,118,95,24,6,1,5,13,1,2,13,3,26,2,2,2001,KBO 정규시즌
14,15,강인권,한화,0.247,104,265,223,55,8,0,6,28,2,0,30,4,50,7,8,2001,KBO 정규시즌
15,16,허준,한화,0.237,89,263,224,53,9,1,3,28,9,5,21,1,14,4,7,2001,KBO 정규시즌
16,17,신국환,한화,0.222,68,84,72,16,4,0,0,3,1,3,7,3,15,4,4,2001,KBO 정규시즌
17,18,조정권,한화,0.202,98,116,104,21,2,0,1,9,1,0,8,2,18,5,1,2001,KBO 정규시즌
18,19,이범호,한화,0.196,71,159,138,27,7,1,3,16,2,4,11,2,25,3,9,2001,KBO 정규시즌
19,20,황우구,한화,0.195,101,240,200,39,9,1,1,20,3,1,27,5,35,6,10,2001,KBO 정규시즌
20,21,김영진,한화,0.182,7,14,11,2,0,0,0,1,2,0,3,0,3,0,0,2001,KBO 정규시즌
21,22,심재윤,한화,0.167,6,7,6,1,1,0,0,0,0,0,1,0,2,1,0,2001,KBO 정규시즌
22,23,서창호,한화,0.133,13,20,15,2,0,0,0,1,0,0,5,0,5,1,2,2001,KBO 정규시즌
23,24,방진호,한화,0.108,37,41,37,4,0,0,0,0,0,0,2,0,10,1,1,2001,KBO 정규시즌
24,25,김기동,한화,0.000,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 정규시즌
25,25,김무성,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
26,25,김백만,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
27,25,김장백,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
28,25,김정수,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
29,25,리스,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
0,1,신국환,한화,1.000,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 준플레이오프
1,2,이영우,한화,0.444,2,9,9,4,2,0,1,2,0,0,0,0,1,0,0,2001,KBO 준플레이오프
2,3,김종석,한화,0.375,2,9,8,3,1,0,1,2,0,0,1,0,1,1,0,2001,KBO 준플레이오프
3,4,데이비스,한화,0.333,2,9,9,3,0,0,0,1,0,1,0,0,2,1,1,2001,KBO 준플레이오프
4,4,송지만,한화,0.333,2,9,9,3,0,0,0,1,0,0,0,0,1,0,0,2001,KBO 준플레이오프
5,6,조경택,한화,0.286,2,8,7,2,1,0,0,0,0,0,1,0,2,0,0,2001,KBO 준플레이오프
6,7,김태균,한화,0.250,2,9,8,2,1,0,1,1,0,0,1,0,3,0,1,2001,KBO 준플레이오프
7,8,장종훈,한화,0.200,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,2001,KBO 준플레이오프
8,9,강석천,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2001,KBO 준플레이오프
9,9,강인권,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 준플레이오프
10,9,김수연,한화,0.000,2,4,3,0,0,0,0,0,0,0,1,0,0,0,0,2001,KBO 준플레이오프
11,9,백재호,한화,0.000,2,8,7,0,0,0,0,0,0,0,1,0,1,0,1,2001,KBO 준플레이오프
12,9,이범호,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 준플레이오프
13,9,임주택,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 준플레이오프
14,9,허준,한화,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2001,KBO 준플레이오프
15,9,황우구,한화,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 준플레이오프
0,1,이종범,KIA,0.340,45,214,188,64,14,1,11,37,7,5,20,1,16,5,3,2001,KBO 정규시즌
1,2,장성호,KIA,0.311,133,591,489,152,32,4,23,97,6,4,90,6,53,11,13,2001,KBO 정규시즌
2,3,산토스,KIA,0.310,130,541,484,150,19,0,26,107,1,0,46,1,66,17,0,2001,KBO 정규시즌
3,4,홍세완,KIA,0.293,133,508,451,132,24,1,14,72,8,2,43,3,62,14,15,2001,KBO 정규시즌
4,5,김경언,KIA,0.287,65,109,94,27,6,0,1,7,1,2,10,0,28,2,1,2001,KBO 정규시즌
5,6,오우진,KIA,0.286,3,7,7,2,0,0,1,2,0,0,0,0,2,1,1,2001,KBO 정규시즌
6,7,김종국,KIA,0.285,101,416,361,103,15,3,4,25,21,12,40,5,56,5,7,2001,KBO 정규시즌
7,8,신동주,KIA,0.284,116,435,387,110,24,1,11,52,13,8,33,10,58,5,5,2001,KBO 정규시즌
8,9,김창희,KIA,0.280,88,271,232,65,10,0,5,25,3,5,32,3,64,7,3,2001,KBO 정규시즌
9,10,정성훈,KIA,0.280,49,179,161,45,7,1,4,18,6,4,12,1,18,5,8,2001,KBO 정규시즌
10,11,이동수,KIA,0.274,84,294,241,66,11,1,15,49,0,1,47,3,75,8,9,2001,KBO 정규시즌
11,12,김상훈,KIA,0.260,127,437,396,103,10,1,6,41,0,4,27,3,73,12,8,2001,KBO 정규시즌
12,13,장일현,KIA,0.257,111,238,214,55,8,0,4,27,2,0,20,2,23,7,1,2001,KBO 정규시즌
13,14,최익성,KIA,0.252,60,176,143,36,8,1,4,9,6,1,18,8,25,7,0,2001,KBO 정규시즌
14,15,안희봉,KIA,0.250,9,13,12,3,0,0,0,0,0,0,0,1,4,0,1,2001,KBO 정규시즌
15,15,이호성,KIA,0.250,9,17,16,4,2,0,1,1,0,0,1,0,3,1,0,2001,KBO 정규시즌
16,17,타바레스,KIA,0.237,46,197,177,42,6,1,1,14,10,5,16,2,26,2,1,2001,KBO 정규시즌
17,18,황성기,KIA,0.225,34,43,40,9,1,0,2,4,0,0,2,1,10,2,1,2001,KBO 정규시즌
18,19,김태룡,KIA,0.224,102,212,192,43,10,1,1,15,3,3,16,1,43,9,11,2001,KBO 정규시즌
19,20,김민철,KIA,0.200,62,48,45,9,0,0,0,3,1,4,2,0,11,1,5,2001,KBO 정규시즌
20,21,정영규,KIA,0.190,55,75,63,12,5,0,2,8,1,0,11,1,18,2,0,2001,KBO 정규시즌
21,22,김지훈,KIA,0.176,36,37,34,6,2,0,1,6,0,0,1,0,11,1,0,2001,KBO 정규시즌
22,23,김상현,KIA,0.150,16,20,20,3,0,0,1,4,0,0,0,0,6,0,0,2001,KBO 정규시즌
23,24,심제훈,KIA,0.087,55,24,23,2,1,0,0,0,2,2,0,0,8,1,2,2001,KBO 정규시즌
24,25,강태원,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
25,25,박충식,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
26,25,성영재,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
27,25,오봉옥,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
28,25,이병석,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
29,25,정원,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
0,1,양준혁,LG,0.355,124,531,439,156,20,3,14,92,12,5,80,1,55,9,1,2001,KBO 정규시즌
1,2,박연수,LG,0.330,70,114,94,31,6,1,3,29,1,1,19,1,23,2,0,2001,KBO 정규시즌
2,3,김재현,LG,0.325,126,534,428,139,29,1,8,61,10,8,88,6,83,9,3,2001,KBO 정규시즌
3,4,이병규,LG,0.308,133,607,542,167,30,4,12,83,24,8,54,4,69,10,7,2001,KBO 정규시즌
4,5,최동수,LG,0.293,94,173,147,43,9,0,6,31,1,1,19,3,22,3,1,2001,KBO 정규시즌
5,6,서용빈,LG,0.286,126,421,371,106,19,4,0,49,4,2,37,5,50,10,3,2001,KBO 정규시즌
