,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,년도,경기타입,SB,CS,BB,HBP,SO,GDP,E
0,1,최형우,삼성,0.400,4,6,5,0,2,2,0,0,4,0,1,0,2002,KBO 정규시즌,,,,,,,
1,2,마해영,삼성,0.323,133,596,532,92,172,40,2,33,315,116,0,6,2002,KBO 정규시즌,,,,,,,
2,3,이승엽,삼성,0.323,133,617,511,123,165,42,2,47,352,126,0,2,2002,KBO 정규시즌,,,,,,,
3,4,김한수,삼성,0.311,127,541,486,69,151,23,1,17,227,76,2,4,2002,KBO 정규시즌,,,,,,,
4,5,강동우,삼성,0.288,130,521,466,75,134,23,3,9,190,49,7,1,2002,KBO 정규시즌,,,,,,,
5,6,조동찬,삼성,0.286,5,7,7,2,2,0,0,1,5,1,0,0,2002,KBO 정규시즌,,,,,,,
6,7,브리또,삼성,0.283,128,545,481,89,136,29,0,25,240,90,4,4,2002,KBO 정규시즌,,,,,,,
7,8,진갑용,삼성,0.281,133,517,462,58,130,29,1,18,215,86,1,5,2002,KBO 정규시즌,,,,,,,
8,9,김종훈,삼성,0.280,105,229,193,29,54,10,1,3,75,22,6,1,2002,KBO 정규시즌,,,,,,,
9,10,양준혁,삼성,0.276,132,437,391,60,108,23,2,14,177,50,0,1,2002,KBO 정규시즌,,,,,,,
10,11,박한이,삼성,0.272,133,586,504,89,137,24,2,10,195,47,14,2,2002,KBO 정규시즌,,,,,,,
11,12,장영균,삼성,0.250,5,6,4,1,1,1,0,0,2,0,0,0,2002,KBO 정규시즌,,,,,,,
12,13,박정환,삼성,0.234,119,372,316,49,74,12,2,9,117,36,13,2,2002,KBO 정규시즌,,,,,,,
13,14,현재윤,삼성,0.227,20,22,22,2,5,0,0,1,8,2,0,0,2002,KBO 정규시즌,,,,,,,
14,15,김재걸,삼성,0.207,83,106,92,17,19,1,0,2,26,10,4,2,2002,KBO 정규시즌,,,,,,,
15,16,하춘동,삼성,0.200,15,10,10,2,2,0,0,0,2,2,0,0,2002,KBO 정규시즌,,,,,,,
16,17,임재철,삼성,0.194,104,82,72,13,14,4,0,1,21,4,2,0,2002,KBO 정규시즌,,,,,,,
17,18,김승관,삼성,0.182,12,12,11,1,2,0,0,0,2,0,0,0,2002,KBO 정규시즌,,,,,,,
18,19,김승권,삼성,0.179,59,92,84,6,15,3,0,1,21,14,0,4,2002,KBO 정규시즌,,,,,,,
19,20,이준민,삼성,0.143,8,8,7,0,1,0,0,0,1,0,0,0,2002,KBO 정규시즌,,,,,,,
20,21,강영식,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
21,21,권혁,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
22,21,김수관,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
23,21,김진웅,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
24,21,노병오,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
25,21,노장진,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
26,21,라형진,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
27,21,박봉수,삼성,0.000,8,7,6,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
28,21,손주인,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
29,21,오상민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
0,21,이태호,삼성,0.000,8,7,6,2,0,0,0,0,0,0,1,0,2002,KBO 정규시즌,,,,,,,
1,21,임창용,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
2,21,장성국,삼성,0.000,9,8,8,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
0,21,이태호,삼성,0.000,8,7,6,2,0,0,0,0,0,0,1,0,2002,KBO 시범경기,,,,,,,
1,21,임창용,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
2,21,장성국,삼성,0.000,9,8,8,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
0,1,양준혁,삼성,0.447,11,43,38,,17,4,0,4,,11,,,2002,KBO 와일드카드,1,0,5,0,4,0,0
1,2,박봉수,삼성,0.400,9,10,10,,4,1,0,0,,1,,,2002,KBO 와일드카드,0,0,0,0,4,0,0
2,3,박한이,삼성,0.319,11,50,47,,15,3,0,1,,4,,,2002,KBO 와일드카드,3,0,3,0,8,1,0
3,4,진갑용,삼성,0.310,10,32,29,,9,1,0,1,,1,,,2002,KBO 와일드카드,0,0,3,0,4,1,1
4,5,이승엽,삼성,0.279,11,45,43,,12,3,0,4,,9,,,2002,KBO 와일드카드,0,0,2,0,10,1,0
5,6,강동우,삼성,0.250,11,44,40,,10,2,1,1,,7,,,2002,KBO 와일드카드,2,0,3,0,5,2,0
6,6,현재윤,삼성,0.250,3,4,4,,1,1,0,0,,1,,,2002,KBO 와일드카드,0,0,0,0,0,1,0
7,8,박정환,삼성,0.242,10,34,33,,8,2,0,0,,6,,,2002,KBO 와일드카드,0,0,0,1,6,1,1
8,9,김한수,삼성,0.229,11,39,35,,8,1,0,0,,5,,,2002,KBO 와일드카드,0,1,1,2,2,4,1
9,10,김승권,삼성,0.222,7,9,9,,2,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,1,1,0
10,11,임재철,삼성,0.172,11,31,29,,5,1,0,1,,2,,,2002,KBO 와일드카드,1,0,0,2,1,1,0
11,12,브리또,삼성,0.167,11,36,30,,5,1,0,1,,2,,,2002,KBO 와일드카드,0,0,4,1,7,0,3
12,13,김재걸,삼성,0.143,10,8,7,,1,1,0,0,,3,,,2002,KBO 와일드카드,0,0,0,0,3,0,0
13,14,마해영,삼성,0.139,11,43,36,,5,1,0,0,,0,,,2002,KBO 와일드카드,0,0,7,0,14,1,0
14,15,김현수,삼성,0.000,2,3,2,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,1,0,0,1,0
15,15,루크,삼성,0.000,1,1,1,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,1,0,0
16,15,문남열,삼성,-,1,0,0,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,0,0,0
17,15,오상민,삼성,-,1,0,0,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,0,0,0
18,15,조동찬,삼성,0.000,4,1,1,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,0,0,0
19,15,최형우,삼성,0.000,5,6,5,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,1,0,0,0
20,15,하춘동,삼성,0.000,7,3,3,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,0,0,0
0,1,최만호,LG,1.000,4,2,1,,1,1,0,0,,0,,,2002,KBO 정규시즌,1,0,0,1,0,0,0
1,2,최동수,LG,0.417,6,16,12,,5,0,0,1,,6,,,2002,KBO 정규시즌,0,0,2,0,1,1,0
2,3,조인성,LG,0.381,6,21,21,,8,0,0,1,,4,,,2002,KBO 정규시즌,0,0,0,0,4,0,0
3,4,류지현,LG,0.346,6,27,26,,9,2,0,0,,0,,,2002,KBO 정규시즌,2,1,0,1,3,0,0
4,5,이병규,LG,0.300,6,25,20,,6,1,0,0,,2,,,2002,KBO 정규시즌,0,0,4,0,6,0,0
5,6,마르티네스,LG,0.273,6,24,22,,6,0,0,0,,0,,,2002,KBO 정규시즌,0,0,2,0,7,0,0
6,7,이종열,LG,0.238,6,25,21,,5,0,0,0,,2,,,2002,KBO 정규시즌,2,1,3,0,2,0,0
7,8,권용관,LG,0.222,6,11,9,,2,0,0,0,,0,,,2002,KBO 정규시즌,0,0,1,0,5,0,0
8,9,김재현,LG,0.200,6,13,10,,2,0,0,0,,2,,,2002,KBO 정규시즌,0,0,1,2,2,0,0
9,10,박연수,LG,0.167,5,8,6,,1,0,0,0,,2,,,2002,KBO 정규시즌,0,0,1,0,1,0,0
10,11,박용택,LG,0.130,6,26,23,,3,1,0,0,,3,,,2002,KBO 정규시즌,2,0,2,0,5,0,0
11,12,심성보,LG,0.125,5,9,8,,1,0,0,0,,0,,,2002,KBO 정규시즌,0,0,0,0,2,1,0
12,13,김우석,LG,0.000,4,2,2,,0,0,0,0,,0,,,2002,KBO 정규시즌,0,1,0,0,1,0,0
13,13,손지환,LG,0.000,4,6,5,,0,0,0,0,,0,,,2002,KBO 정규시즌,0,0,0,0,1,0,2
14,13,이상훈,LG,-,1,0,0,,0,0,0,0,,0,,,2002,KBO 정규시즌,0,0,0,0,0,0,0
15,13,이일의,LG,0.000,5,7,6,,0,0,0,0,,0,,,2002,KBO 정규시즌,0,0,0,0,1,0,0
16,13,장재중,LG,-,1,0,0,,0,0,0,0,,0,,,2002,KBO 정규시즌,0,0,0,0,0,0,0
0,26,류택현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
1,26,윤현식,LG,0.000,13,10,9,0,0,0,0,0,0,0,1,0,2002,KBO 정규시즌,,,,,,,
2,26,이광우,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
3,26,이동현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
4,26,이상훈,LG,0.000,2,1,1,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
5,26,최창호,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
6,26,케펜,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 정규시즌,,,,,,,
7,26,퀸란,LG,0.000,13,28,21,0,0,0,0,0,0,0,1,0,2002,KBO 정규시즌,,,,,,,
0,26,류택현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
1,26,윤현식,LG,0.000,13,10,9,0,0,0,0,0,0,0,1,0,2002,KBO 시범경기,,,,,,,
2,26,이광우,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
3,26,이동현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
4,26,이상훈,LG,0.000,2,1,1,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
5,26,최창호,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
6,26,케펜,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
7,26,퀸란,LG,0.000,13,28,21,0,0,0,0,0,0,0,1,0,2002,KBO 시범경기,,,,,,,
0,26,류택현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 와일드카드,,,,,,,
1,26,윤현식,LG,0.000,13,10,9,0,0,0,0,0,0,0,1,0,2002,KBO 와일드카드,,,,,,,
2,26,이광우,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 와일드카드,,,,,,,
3,26,이동현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 와일드카드,,,,,,,
4,26,이상훈,LG,0.000,2,1,1,0,0,0,0,0,0,0,0,0,2002,KBO 와일드카드,,,,,,,
5,26,최창호,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 와일드카드,,,,,,,
6,26,케펜,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 와일드카드,,,,,,,
7,26,퀸란,LG,0.000,13,28,21,0,0,0,0,0,0,0,1,0,2002,KBO 와일드카드,,,,,,,
0,1,최동수,LG,0.500,2,7,6,,3,0,0,0,,2,,,2002,KBO 플레이오프,0,0,1,0,1,0,0
1,2,권용관,LG,0.333,2,7,6,,2,1,0,0,,0,,,2002,KBO 플레이오프,0,0,0,0,1,0,0
2,2,박용택,LG,0.333,2,9,9,,3,0,0,0,,0,,,2002,KBO 플레이오프,1,1,0,0,2,0,0
3,4,류지현,LG,0.286,2,9,7,,2,0,0,0,,0,,,2002,KBO 플레이오프,0,0,1,0,2,0,0
4,4,조인성,LG,0.286,2,7,7,,2,0,0,0,,1,,,2002,KBO 플레이오프,0,1,0,0,2,0,0
5,6,마르티네스,LG,0.250,2,9,8,,2,0,0,1,,4,,,2002,KBO 플레이오프,0,0,1,0,1,0,0
6,7,이종열,LG,0.167,2,9,6,,1,0,0,0,,0,,,2002,KBO 플레이오프,0,0,1,1,1,0,0
7,8,이병규,LG,0.111,2,9,9,,1,0,0,0,,0,,,2002,KBO 플레이오프,0,0,0,0,2,2,0
8,9,손지환,LG,0.000,2,7,4,,0,0,0,0,,0,,,2002,KBO 플레이오프,0,0,2,1,0,0,0
9,9,최만호,LG,-,2,0,0,,0,0,0,0,,0,,,2002,KBO 플레이오프,0,0,0,0,0,0,0
0,1,최만호,LG,1.000,4,1,1,,1,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,0,0,0,0,0
1,2,박용택,LG,0.350,5,23,20,,7,1,0,2,,4,,,2002,KBO 한국시리즈,0,1,2,1,3,1,0
2,3,최동수,LG,0.316,5,20,19,,6,2,0,2,,5,,,2002,KBO 한국시리즈,0,0,0,1,4,1,0
3,4,심성보,LG,0.267,5,16,15,,4,0,0,0,,2,,,2002,KBO 한국시리즈,0,2,1,0,3,0,0
4,5,권용관,LG,0.250,5,19,16,,4,1,0,0,,4,,,2002,KBO 한국시리즈,0,0,2,1,4,1,0
5,5,이병규,LG,0.250,5,22,20,,5,1,0,0,,1,,,2002,KBO 한국시리즈,0,0,2,0,1,0,0
6,5,이종열,LG,0.250,5,23,20,,5,1,0,0,,0,,,2002,KBO 한국시리즈,0,0,2,1,1,0,0
7,8,마르티네스,LG,0.238,5,21,21,,5,0,0,0,,1,,,2002,KBO 한국시리즈,1,0,0,0,6,2,0
8,9,류지현,LG,0.200,5,24,20,,4,0,0,0,,3,,,2002,KBO 한국시리즈,0,0,1,2,4,0,1
9,10,조인성,LG,0.143,5,19,14,,2,0,0,0,,1,,,2002,KBO 한국시리즈,0,0,1,2,4,0,0
10,11,김우석,LG,-,1,0,0,,0,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,0,0,0,0,0
11,11,손지환,LG,0.000,1,1,1,,0,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,0,0,1,0,0
12,11,이일의,LG,0.000,3,8,8,,0,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,0,0,2,0,0
13,11,장재중,LG,0.000,1,1,1,,0,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,0,0,1,0,0
0,1,장성호,KIA,0.343,133,586,481,82,165,29,0,19,251,95,2,8,2002,KBO 시범경기,,,,,,,
1,2,황성기,KIA,0.333,2,3,3,0,1,0,0,0,1,0,0,0,2002,KBO 시범경기,,,,,,,
2,3,정성훈,KIA,0.312,114,385,340,65,106,19,3,9,158,39,5,3,2002,KBO 시범경기,,,,,,,
3,4,신동주,KIA,0.311,81,273,244,34,76,9,1,7,108,33,0,2,2002,KBO 시범경기,,,,,,,
4,5,이종범,KIA,0.293,123,546,485,93,142,25,2,18,225,59,4,1,2002,KBO 시범경기,,,,,,,
5,6,김종국,KIA,0.287,133,595,527,95,151,26,3,8,207,53,3,1,2002,KBO 시범경기,,,,,,,
6,7,김경언,KIA,0.263,107,323,274,45,72,16,1,1,93,33,1,1,2002,KBO 시범경기,,,,,,,
7,8,김민철,KIA,0.261,58,53,46,9,12,1,0,0,13,3,2,0,2002,KBO 시범경기,,,,,,,
8,9,홍세완,KIA,0.257,111,449,401,43,103,21,0,12,160,69,8,4,2002,KBO 시범경기,,,,,,,
9,10,이현곤,KIA,0.257,52,122,113,11,29,7,1,3,47,12,0,0,2002,KBO 시범경기,,,,,,,
10,11,펨버튼,KIA,0.255,75,316,271,28,69,13,1,11,117,48,0,3,2002,KBO 시범경기,,,,,,,
11,12,오우진,KIA,0.250,14,17,16,0,4,0,0,0,4,2,0,0,2002,KBO 시범경기,,,,,,,
12,12,장일현,KIA,0.250,81,145,132,11,33,8,0,3,50,19,1,0,2002,KBO 시범경기,,,,,,,
13,14,김인철,KIA,0.235,37,53,51,5,12,4,0,1,19,6,1,0,2002,KBO 시범경기,,,,,,,
14,15,김지훈,KIA,0.229,49,52,48,6,11,1,0,3,21,9,2,0,2002,KBO 시범경기,,,,,,,
15,15,이동수,KIA,0.229,28,56,48,3,11,1,0,0,12,8,0,0,2002,KBO 시범경기,,,,,,,
16,17,김태룡,KIA,0.227,66,105,97,12,22,6,0,2,34,8,0,2,2002,KBO 시범경기,,,,,,,
17,18,장정석,KIA,0.225,75,116,102,11,23,5,0,1,31,7,4,1,2002,KBO 시범경기,,,,,,,
18,19,김상훈,KIA,0.221,113,391,357,36,79,12,0,7,112,41,8,3,2002,KBO 시범경기,,,,,,,
19,20,김창희,KIA,0.216,114,350,310,28,67,12,0,5,94,35,4,5,2002,KBO 시범경기,,,,,,,
20,21,조민철,KIA,0.214,12,16,14,1,3,0,0,0,3,2,0,0,2002,KBO 시범경기,,,,,,,
21,22,뉴선,KIA,0.209,35,133,115,15,24,5,0,7,50,17,0,1,2002,KBO 시범경기,,,,,,,
22,23,이재주,KIA,0.152,26,37,33,2,5,0,0,2,11,5,1,0,2002,KBO 시범경기,,,,,,,
23,24,김지영,KIA,0.136,11,23,22,1,3,0,0,0,3,1,0,0,2002,KBO 시범경기,,,,,,,
24,25,이대진,KIA,0.083,23,38,36,2,3,1,1,0,6,4,0,0,2002,KBO 시범경기,,,,,,,
25,26,박충식,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
26,26,방동민,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
27,26,심제훈,KIA,0.000,4,2,2,1,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
28,26,이강철,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
0,1,신동주,KIA,0.438,12,34,32,,14,2,0,2,,8,,,2002,KBO 와일드카드,0,2,1,0,4,0,0
1,2,김태룡,KIA,0.417,9,13,12,,5,3,0,0,,3,,,2002,KBO 와일드카드,0,0,0,1,2,0,0
2,3,김종국,KIA,0.385,9,27,26,,10,3,0,2,,6,,,2002,KBO 와일드카드,1,0,1,0,4,0,2
3,4,이종범,KIA,0.381,12,43,42,,16,7,0,2,,7,,,2002,KBO 와일드카드,0,0,1,0,5,3,1
4,5,장성호,KIA,0.364,12,49,44,,16,5,0,2,,9,,,2002,KBO 와일드카드,0,1,5,0,3,0,1
5,6,김상훈,KIA,0.360,11,29,25,,9,1,0,1,,5,,,2002,KBO 와일드카드,0,0,4,0,1,0,1
6,7,김경언,KIA,0.333,4,4,3,,1,0,0,0,,0,,,2002,KBO 와일드카드,0,0,1,0,1,0,0
7,7,오우진,KIA,0.333,2,3,3,,1,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,0,0,0
8,9,김창희,KIA,0.306,11,40,36,,11,1,0,1,,7,,,2002,KBO 와일드카드,0,1,3,1,4,1,1
9,10,이동수,KIA,0.292,11,26,24,,7,1,0,1,,3,,,2002,KBO 와일드카드,0,0,1,1,9,0,0
10,11,뉴선,KIA,0.286,11,47,42,,12,3,0,1,,8,,,2002,KBO 와일드카드,0,0,4,0,10,1,1
11,12,홍세완,KIA,0.283,12,47,46,,13,3,0,1,,8,,,2002,KBO 와일드카드,0,0,1,0,4,4,1
12,13,정성훈,KIA,0.267,12,31,30,,8,4,0,0,,4,,,2002,KBO 와일드카드,0,0,0,0,3,1,0
13,14,김지영,KIA,0.250,2,4,4,,1,1,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,2,0,0
14,15,장일현,KIA,0.182,10,14,11,,2,1,0,0,,2,,,2002,KBO 와일드카드,0,0,2,1,2,1,0
15,16,김지훈,KIA,0.167,7,7,6,,1,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,1,0,0,0
16,17,이현곤,KIA,0.103,9,33,29,,3,0,0,0,,2,,,2002,KBO 와일드카드,1,1,4,0,8,0,1
17,18,황성기,KIA,0.091,9,12,11,,1,0,0,0,,0,,,2002,KBO 와일드카드,0,0,1,0,2,1,0
18,19,곽채진,KIA,-,1,0,0,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,0,0,0
19,19,김인철,KIA,0.000,1,1,1,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,1,0,0
20,19,리오스,KIA,-,1,0,0,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,0,0,0
21,19,박충식,KIA,-,2,0,0,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,0,0,0
22,19,심제훈,KIA,-,1,0,0,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,0,0,1
23,19,이재주,KIA,0.000,7,3,3,,0,0,0,0,,0,,,2002,KBO 와일드카드,0,0,0,0,1,0,0
0,1,김경언,KIA,0.500,4,10,8,,4,0,0,0,,1,,,2002,KBO 한국시리즈,0,2,2,0,2,0,0
1,2,장성호,KIA,0.391,5,25,23,,9,2,0,1,,3,,,2002,KBO 한국시리즈,0,0,2,0,1,0,0
2,3,김인철,KIA,0.375,5,10,8,,3,0,0,1,,1,,,2002,KBO 한국시리즈,0,0,1,0,2,0,0
3,4,이종범,KIA,0.333,5,25,21,,7,1,0,1,,1,,,2002,KBO 한국시리즈,0,1,3,0,2,0,0
4,5,김종국,KIA,0.300,5,26,20,,6,0,0,1,,2,,,2002,KBO 한국시리즈,1,0,4,0,1,1,0
5,6,김상훈,KIA,0.294,5,20,17,,5,0,0,0,,2,,,2002,KBO 한국시리즈,0,0,3,0,5,0,0
6,7,홍세완,KIA,0.261,5,25,23,,6,2,0,0,,3,,,2002,KBO 한국시리즈,0,0,1,0,2,0,0
7,8,신동주,KIA,0.222,5,20,18,,4,0,0,1,,2,,,2002,KBO 한국시리즈,0,0,2,0,1,0,0
8,9,펨버튼,KIA,0.150,5,23,20,,3,1,0,0,,1,,,2002,KBO 한국시리즈,0,0,3,0,2,0,0
9,10,김민철,KIA,-,1,0,0,,0,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,0,0,0,0,0
10,10,김창희,KIA,0.000,4,5,4,,0,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,1,0,3,0,0
11,10,이현곤,KIA,0.000,2,2,2,,0,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,0,0,2,0,0
12,10,장일현,KIA,-,1,1,0,,0,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,1,0,0,0,0
13,10,장정석,KIA,-,2,0,0,,0,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,0,0,0,0,0
14,10,정성훈,KIA,0.000,5,21,17,,0,0,0,0,,0,,,2002,KBO 한국시리즈,0,0,3,1,6,1,1
0,1,황윤성,현대,0.324,25,39,37,6,12,4,1,1,21,9,0,0,2002,KBO 시범경기,,,,,,,
1,2,심정수,현대,0.321,133,577,502,101,161,22,1,46,323,119,0,3,2002,KBO 시범경기,,,,,,,
2,3,전준호,현대,0.300,126,501,420,83,126,15,8,3,166,28,14,1,2002,KBO 시범경기,,,,,,,
3,4,전근표,현대,0.294,11,20,17,2,5,2,1,0,9,5,0,0,2002,KBO 시범경기,,,,,,,
4,5,이숭용,현대,0.284,125,480,422,63,120,18,2,19,199,76,4,2,2002,KBO 시범경기,,,,,,,
5,6,최익성,현대,0.280,45,95,75,10,21,1,0,1,25,8,3,2,2002,KBO 시범경기,,,,,,,
6,7,폴,현대,0.280,113,441,397,48,111,18,2,18,187,64,1,2,2002,KBO 시범경기,,,,,,,
7,8,박재홍,현대,0.278,112,481,432,57,120,24,0,15,189,67,0,4,2002,KBO 시범경기,,,,,,,
8,9,프랭클린,현대,0.276,49,198,152,30,42,9,1,14,95,30,0,2,2002,KBO 시범경기,,,,,,,
9,10,강귀태,현대,0.272,74,155,147,17,40,8,0,1,51,16,3,1,2002,KBO 시범경기,,,,,,,
10,11,박종호,현대,0.266,108,468,402,58,107,15,2,7,147,53,29,1,2002,KBO 시범경기,,,,,,,
11,12,채종국,현대,0.228,100,224,184,24,42,7,0,3,58,15,12,3,2002,KBO 시범경기,,,,,,,
12,13,박진만,현대,0.219,126,466,401,47,88,24,0,12,148,57,9,4,2002,KBO 시범경기,,,,,,,
13,14,조재호,현대,0.216,61,104,88,9,19,4,2,2,33,12,2,2,2002,KBO 시범경기,,,,,,,
14,15,김일경,현대,0.213,57,91,80,9,17,2,1,2,27,7,2,1,2002,KBO 시범경기,,,,,,,
15,16,강병식,현대,0.208,89,147,130,16,27,3,1,6,50,20,1,2,2002,KBO 시범경기,,,,,,,
16,17,박경완,현대,0.203,119,398,330,42,67,10,1,19,136,42,12,3,2002,KBO 시범경기,,,,,,,
17,18,박우호,현대,0.200,12,11,10,2,2,0,0,0,2,0,0,0,2002,KBO 시범경기,,,,,,,
18,19,김민우,현대,0.195,25,47,41,8,8,2,1,0,12,2,0,1,2002,KBO 시범경기,,,,,,,
19,20,조승현,현대,0.163,31,50,43,3,7,1,0,2,14,7,4,0,2002,KBO 시범경기,,,,,,,
20,21,정수성,현대,0.154,50,16,13,6,2,0,0,0,2,0,1,0,2002,KBO 시범경기,,,,,,,
21,22,이용주,현대,0.150,23,22,20,5,3,0,0,1,6,2,0,0,2002,KBO 시범경기,,,,,,,
22,23,서한규,현대,0.130,86,50,46,8,6,1,1,0,9,3,1,0,2002,KBO 시범경기,,,,,,,
23,24,서성민,현대,0.109,36,50,46,3,5,0,0,1,8,1,1,0,2002,KBO 시범경기,,,,,,,
24,25,김필중,현대,0.000,3,2,2,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
25,25,배힘찬,현대,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
26,25,이대환,현대,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
27,25,전준호,현대,-,1,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
28,25,조용준,현대,-,3,0,0,0,0,0,0,0,0,0,0,0,2002,KBO 시범경기,,,,,,,
0,1,조승현,현대,0.500,5,8,6,,3,0,0,0,,0,,,2002,KBO 와일드카드,0,0,1,1,2,0,0
1,2,강귀태,현대,0.455,11,14,11,,5,0,0,1,,4,,,2002,KBO 와일드카드,0,0,1,2,2,0,0
2,3,심정수,현대,0.362,12,48,47,,17,1,0,3,,6,,,2002,KBO 와일드카드,0,0,1,0,10,2,0
3,4,서성민,현대,0.357,9,15,14,,5,2,0,1,,3,,,2002,KBO 와일드카드,0,0,1,0,2,0,0
4,5,박종호,현대,0.333,10,36,33,,11,1,0,0,,2,,,2002,KBO 와일드카드,2,0,1,2,3,0,0
5,6,폴,현대,0.325,12,46,40,,13,0,0,3,,12,,,2002,KBO 와일드카드,0,0,6,0,12,1,0
6,7,전근표,현대,0.286,7,8,7,,2,0,0,0,,0,,,2002,KBO 와일드카드,0,0,1,0,2,0,0
7,8,박경완,현대,0.258,11,33,31,,8,3,0,1,,2,,,2002,KBO 와일드카드,1,0,2,0,11,1,0
8,9,박진만,현대,0.257,11,40,35,,9,2,1,1,,3,,,2002,KBO 와일드카드,0,0,5,0,6,1,2
9,10,박재홍,현대,0.255,13,53,51,,13,0,0,1,,5,,,2002,KBO 와일드카드,1,0,0,1,10,2,0
